"RMSE";"R2_adjusted_train";"R2_adjusted_test";"MAE";"n.trees";"shrinkage";"interaction.depth";"n.minobsinnode"
3,216;0,912;0,048;2,572;1500;0,01;6;5
3,234;0,93;0,044;2,592;1700;0,01;6;5
3,264;0,95;0,044;2,618;2000;0,01;6;5
3,328;0,98;0,034;2,666;3000;0,01;6;5
3,144;0,844;0,054;2,508;500;0,02;6;5
3,238;0,948;0,044;2,6;1000;0,02;6;5
3,302;0,98;0,04;2,644;1500;0,02;6;5
3,322;0,982;0,038;2,658;1700;0,02;6;5
3,34;0,99;0,038;2,674;2000;0,02;6;5
3,376;1;0,034;2,702;3000;0,02;6;5
3,3;0,96;0,038;2,648;500;0,05;6;5
3,368;0,994;0,032;2,712;1000;0,05;6;5
3,394;1;0,032;2,728;1500;0,05;6;5
3,402;1;0,032;2,734;1700;0,05;6;5
3,404;1;0,034;2,736;2000;0,05;6;5
3,408;1;0,034;2,742;3000;0,05;6;5
3,012;0,4;0,068;2,462;500;0,001;6;5
2,99;0,448;0,07;2,426;1000;0,001;6;5
2,984;0,496;0,072;2,412;1500;0,001;6;5
2,984;0,51;0,07;2,412;1700;0,001;6;5
2,986;0,532;0,07;2,406;2000;0,001;6;5
3;0,604;0,072;2,406;3000;0,001;6;5
2,992;0,448;0,068;2,432;500;0,002;6;5
2,986;0,536;0,072;2,404;1000;0,002;6;5
3,002;0,608;0,07;2,404;1500;0,002;6;5
3,008;0,632;0,074;2,408;1700;0,002;6;5
3,016;0,666;0,07;2,41;2000;0,002;6;5
3,054;0,75;0,068;2,438;3000;0,002;6;5
2,994;0,564;0,07;2,404;500;0,005;6;5
3,042;0,71;0,066;2,432;1000;0,005;6;5
3,094;0,794;0,06;2,472;1500;0,005;6;5
3,112;0,818;0,06;2,486;1700;0,005;6;5
3,132;0,85;0,056;2,504;2000;0,005;6;5
3,2;0,914;0,048;2,564;3000;0,005;6;5
3,064;0,786;0,068;2,434;500;0,01;8;5
3,16;0,908;0,056;2,528;1000;0,01;8;5
3,222;0,954;0,046;2,576;1500;0,01;8;5
3,238;0,966;0,044;2,596;1700;0,01;8;5
3,26;0,978;0,044;2,61;2000;0,01;8;5
3,312;0,99;0,036;2,656;3000;0,01;8;5
3,17;0,9;0,054;2,53;500;0,02;8;5
3,256;0,976;0,046;2,614;1000;0,02;8;5
3,304;0,99;0,04;2,65;1500;0,02;8;5
3,314;0,994;0,04;2,66;1700;0,02;8;5
3,326;1;0,038;2,672;2000;0,02;8;5
3,344;1;0,036;2,682;3000;0,02;8;5
3,256;0,984;0,05;2,614;500;0,05;8;5
3,312;1;0,042;2,66;1000;0,05;8;5
3,324;1;0,04;2,666;1500;0,05;8;5
3,326;1;0,04;2,67;1700;0,05;8;5
3,326;1;0,04;2,67;2000;0,05;8;5
3,326;1;0,04;2,67;3000;0,05;8;5
3,008;0,478;0,072;2,456;500;0,001;8;5
2,988;0,532;0,07;2,422;1000;0,001;8;5
2,984;0,58;0,072;2,41;1500;0,001;8;5
2,988;0,598;0,072;2,404;1700;0,001;8;5
2,99;0,624;0,074;2,402;2000;0,001;8;5
3,008;0,694;0,07;2,408;3000;0,001;8;5
2,988;0,53;0,072;2,418;500;0,002;8;5
2,984;0,624;0,074;2,396;1000;0,002;8;5
3,008;0,692;0,07;2,404;1500;0,002;8;5
3,014;0,716;0,07;2,406;1700;0,002;8;5
3,032;0,752;0,07;2,418;2000;0,002;8;5
3,074;0,826;0,064;2,456;3000;0,002;8;5
3;0,654;0,072;2,408;500;0,005;8;5
3,056;0,792;0,066;2,45;1000;0,005;8;5
3,112;0,864;0,058;2,496;1500;0,005;8;5
3,13;0,886;0,056;2,508;1700;0,005;8;5
3,158;0,91;0,056;2,53;2000;0,005;8;5
3,222;0,956;0,044;2,582;3000;0,005;8;5
3,016;0,452;0,066;2,412;500;0,01;3;10
3,068;0,6;0,062;2,452;1000;0,01;3;10
3,112;0,692;0,054;2,494;1500;0,01;3;10
3,13;0,72;0,052;2,512;1700;0,01;3;10
3,148;0,756;0,052;2,532;2000;0,01;3;10
3,218;0,836;0,044;2,594;3000;0,01;3;10
3,072;0,596;0,06;2,448;500;0,02;3;10
3,15;0,754;0,054;2,528;1000;0,02;3;10
3,212;0,836;0,046;2,588;1500;0,02;3;10
3,238;0,856;0,046;2,61;1700;0,02;3;10
3,258;0,886;0,042;2,63;2000;0,02;3;10
3,338;0,94;0,032;2,69;3000;0,02;3;10
3,162;0,792;0,056;2,55;500;0,05;3;10
3,276;0,914;0,044;2,648;1000;0,05;3;10
3,35;0,96;0,04;2,698;1500;0,05;3;10
3,368;0,97;0,038;2,71;1700;0,05;3;10
3,386;0,98;0,034;2,724;2000;0,05;3;10
3,432;0,99;0,032;2,762;3000;0,05;3;10
3,022;0,228;0,06;2,472;500;0,001;3;10
2,998;0,26;0,066;2,44;1000;0,001;3;10
