"RMSE";"R2_adjusted_train";"R2_adjusted_test";"MAE";"n.trees";"shrinkage";"interaction.depth";"n.minobsinnode"
1,078;0,862;0,118;0,818;3000;0,002;8;2
1,066;0,708;0,118;0,816;500;0,005;8;2
1,074;0,828;0,118;0,818;1000;0,005;8;2
1,084;0,894;0,118;0,824;1500;0,005;8;2
1,082;0,912;0,118;0,828;1700;0,005;8;2
1,086;0,932;0,118;0,828;2000;0,005;8;2
1,096;0,97;0,118;0,834;3000;0,005;8;2
1,078;0,516;0,102;0,828;500;0,01;3;5
1,092;0,67;0,1;0,836;1000;0,01;3;5
1,104;0,758;0,092;0,844;1500;0,01;3;5
1,11;0,784;0,088;0,846;1700;0,01;3;5
1,114;0,816;0,09;0,85;2000;0,01;3;5
1,128;0,886;0,088;0,86;3000;0,01;3;5
1,094;0,666;0,092;0,842;500;0,02;3;5
1,118;0,812;0,086;0,854;1000;0,02;3;5
1,138;0,884;0,08;0,866;1500;0,02;3;5
1,14;0,902;0,08;0,872;1700;0,02;3;5
1,146;0,924;0,08;0,876;2000;0,02;3;5
1,154;0,964;0,082;0,886;3000;0,02;3;5
1,122;0,846;0,086;0,86;500;0,05;3;5
1,144;0,946;0,086;0,886;1000;0,05;3;5
1,15;0,98;0,088;0,89;1500;0,05;3;5
1,15;0,98;0,088;0,892;1700;0,05;3;5
1,152;0,99;0,088;0,896;2000;0,05;3;5
1,16;1;0,088;0,902;3000;0,05;3;5
1,1;0,294;0,062;0,852;500;0,001;3;5
1,092;0,326;0,072;0,846;1000;0,001;3;5
1,088;0,354;0,076;0,842;1500;0,001;3;5
1,084;0,366;0,078;0,84;1700;0,001;3;5
1,084;0,384;0,08;0,84;2000;0,001;3;5
1,08;0,438;0,088;0,836;3000;0,001;3;5
1,09;0,324;0,074;0,846;500;0,002;3;5
1,082;0,386;0,084;0,84;1000;0,002;3;5
1,08;0,438;0,09;0,832;1500;0,002;3;5
1,078;0,458;0,09;0,83;1700;0,002;3;5
1,08;0,482;0,096;0,83;2000;0,002;3;5
1,084;0,56;0,098;0,828;3000;0,002;3;5
1,08;0,41;0,09;0,836;500;0,005;3;5
1,08;0,526;0,096;0,828;1000;0,005;3;5
1,086;0,608;0,098;0,832;1500;0,005;3;5
1,088;0,634;0,096;0,832;1700;0,005;3;5
1,092;0,67;0,096;0,834;2000;0,005;3;5
1,102;0,76;0,094;0,838;3000;0,005;3;5
1,078;0,676;0,104;0,822;500;0,01;5;5
1,098;0,824;0,1;0,832;1000;0,01;5;5
1,112;0,892;0,094;0,846;1500;0,01;5;5
1,114;0,91;0,092;0,848;1700;0,01;5;5
1,12;0,93;0,096;0,852;2000;0,01;5;5
1,124;0,97;0,096;0,86;3000;0,01;5;5
1,088;0,818;0,108;0,83;500;0,02;5;5
1,11;0,93;0,102;0,846;1000;0,02;5;5
1,118;0,97;0,1;0,854;1500;0,02;5;5
1,118;0,976;0,102;0,858;1700;0,02;5;5
1,126;0,982;0,102;0,86;2000;0,02;5;5
1,13;1;0,102;0,866;3000;0,02;5;5
1,114;0,95;0,108;0,854;500;0,05;5;5
1,128;0,99;0,11;0,872;1000;0,05;5;5
1,128;1;0,11;0,876;1500;0,05;5;5
1,126;1;0,11;0,876;1700;0,05;5;5
1,132;1;0,11;0,876;2000;0,05;5;5
1,132;1;0,11;0,878;3000;0,05;5;5
1,094;0,404;0,08;0,848;500;0,001;5;5
1,084;0,448;0,086;0,838;1000;0,001;5;5
1,08;0,486;0,092;0,834;1500;0,001;5;5
1,078;0,5;0,094;0,832;1700;0,001;5;5
1,078;0,524;0,096;0,83;2000;0,001;5;5
1,076;0,586;0,1;0,826;3000;0,001;5;5
1,084;0,444;0,086;0,84;500;0,002;5;5
1,078;0,52;0,094;0,83;1000;0,002;5;5
1,076;0,586;0,1;0,826;1500;0,002;5;5
1,078;0,606;0,1;0,826;1700;0,002;5;5
1,08;0,636;0,1;0,828;2000;0,002;5;5
1,086;0,722;0,104;0,826;3000;0,002;5;5
1,076;0,554;0,102;0,828;500;0,005;5;5
1,082;0,682;0,106;0,826;1000;0,005;5;5
1,094;0,766;0,096;0,832;1500;0,005;5;5
1,096;0,79;0,098;0,832;1700;0,005;5;5
1,1;0,824;0,098;0,836;2000;0,005;5;5
1,11;0,892;0,096;0,844;3000;0,005;5;5
1,078;0,728;0,11;0,818;500;0,01;6;5
1,092;0,866;0,104;0,832;1000;0,01;6;5
1,11;0,924;0,098;0,844;1500;0,01;6;5
1,11;0,94;0,102;0,844;1700;0,01;6;5
1,112;0,954;0,104;0,85;2000;0,01;6;5
1,118;0,98;0,104;0,856;3000;0,01;6;5
1,098;0,862;0,104;0,838;500;0,02;6;5
1,12;0,952;0,096;0,856;1000;0,02;6;5
1,124;0,98;0,098;0,866;1500;0,02;6;5
1,126;0,99;0,096;0,864;1700;0,02;6;5
1,128;0,99;0,096;0,866;2000;0,02;6;5
1,136;1;0,096;0,874;3000;0,02;6;5
1,118;0,97;0,104;0,86;500;0,05;6;5
1,124;1;0,106;0,866;1000;0,05;6;5
1,126;1;0,106;0,87;1500;0,05;6;5
1,126;1;0,104;0,87;1700;0,05;6;5
