"RMSE";"R2_adjusted_train";"R2_adjusted_test";"MAE";"ntree";"mtry";"nodesize"
1,066;0,632;0,11;0,818;1500;7;20
1,066;0,634;0,116;0,816;1700;7;20
1,064;0,634;0,116;0,818;2000;7;20
1,066;0,62;0,104;0,824;100;8;20
1,066;0,63;0,108;0,818;300;8;20
1,064;0,634;0,112;0,818;500;8;20
1,064;0,634;0,11;0,818;700;8;20
1,066;0,634;0,106;0,818;900;8;20
1,066;0,634;0,11;0,818;1000;8;20
1,064;0,634;0,112;0,816;1300;8;20
1,064;0,636;0,112;0,816;1500;8;20
1,064;0,636;0,11;0,818;1700;8;20
1,064;0,636;0,11;0,818;2000;8;20
1,07;0,62;0,094;0,822;100;9;20
1,068;0,63;0,102;0,822;300;9;20
1,066;0,634;0,108;0,82;500;9;20
1,064;0,638;0,11;0,82;700;9;20
1,066;0,634;0,11;0,82;900;9;20
1,066;0,634;0,11;0,82;1000;9;20
1,066;0,636;0,11;0,82;1300;9;20
1,066;0,636;0,11;0,818;1500;9;20
1,066;0,636;0,11;0,818;1700;9;20
1,064;0,638;0,112;0,818;2000;9;20
1,064;0,668;0,128;0,822;100;1;30
1,064;0,684;0,144;0,818;300;1;30
1,064;0,686;0,142;0,818;500;1;30
1,062;0,692;0,144;0,818;700;1;30
1,062;0,688;0,148;0,816;900;1;30
1,062;0,69;0,148;0,816;1000;1;30
1,062;0,692;0,148;0,816;1300;1;30
1,064;0,692;0,144;0,816;1500;1;30
1,064;0,692;0,144;0,816;1700;1;30
1,064;0,692;0,148;0,816;2000;1;30
1,058;0,692;0,132;0,81;100;2;30
1,058;0,706;0,142;0,81;300;2;30
1,058;0,708;0,144;0,81;500;2;30
1,056;0,712;0,14;0,812;700;2;30
1,054;0,712;0,144;0,81;900;2;30
1,054;0,712;0,144;0,81;1000;2;30
1,056;0,712;0,142;0,81;1300;2;30
1,054;0,712;0,142;0,81;1500;2;30
1,056;0,714;0,142;0,81;1700;2;30
1,056;0,714;0,144;0,81;2000;2;30
1,062;0,708;0,122;0,814;100;3;30
1,06;0,718;0,126;0,816;300;3;30
1,058;0,722;0,128;0,814;500;3;30
1,06;0,722;0,13;0,812;700;3;30
1,062;0,722;0,13;0,812;900;3;30
1,058;0,722;0,132;0,812;1000;3;30
1,058;0,722;0,132;0,812;1300;3;30
1,058;0,722;0,132;0,812;1500;3;30
1,058;0,722;0,134;0,81;1700;3;30
1,058;0,72;0,134;0,81;2000;3;30
1,064;0,71;0,112;0,822;100;4;30
1,062;0,724;0,118;0,816;300;4;30
1,06;0,722;0,126;0,816;500;4;30
1,06;0,724;0,128;0,814;700;4;30
1,058;0,726;0,124;0,812;900;4;30
1,058;0,726;0,124;0,812;1000;4;30
1,06;0,724;0,126;0,81;1300;4;30
1,058;0,724;0,128;0,81;1500;4;30
1,054;0,724;0,13;0,81;1700;4;30
1,054;0,724;0,132;0,81;2000;4;30
1,064;0,718;0,116;0,816;100;5;30
1,06;0,728;0,128;0,812;300;5;30
1,058;0,726;0,128;0,812;500;5;30
1,058;0,726;0,13;0,814;700;5;30
1,056;0,728;0,128;0,814;900;5;30
1,06;0,728;0,128;0,814;1000;5;30
1,058;0,728;0,128;0,81;1300;5;30
1,06;0,728;0,13;0,812;1500;5;30
1,058;0,728;0,128;0,81;1700;5;30
1,06;0,728;0,126;0,81;2000;5;30
1,064;0,716;0,12;0,816;100;6;30
1,054;0,728;0,132;0,81;300;6;30
1,058;0,73;0,128;0,81;500;6;30
1,058;0,73;0,13;0,812;700;6;30
1,056;0,73;0,132;0,812;900;6;30
1,056;0,73;0,128;0,812;1000;6;30
1,056;0,73;0,124;0,812;1300;6;30
1,058;0,728;0,126;0,814;1500;6;30
1,058;0,728;0,126;0,812;1700;6;30
1,058;0,73;0,126;0,812;2000;6;30
1,062;0,718;0,122;0,816;100;7;30
1,058;0,732;0,124;0,812;300;7;30
1,058;0,734;0,126;0,81;500;7;30
1,056;0,734;0,128;0,81;700;7;30
1,06;0,734;0,128;0,81;900;7;30
1,058;0,734;0,13;0,81;1000;7;30
1,056;0,734;0,13;0,81;1300;7;30
1,056;0,732;0,13;0,81;1500;7;30
1,058;0,732;0,128;0,81;1700;7;30
1,058;0,734;0,126;0,81;2000;7;30
1,07;0,726;0,104;0,82;100;8;30
1,06;0,736;0,128;0,81;300;8;30
1,058;0,738;0,126;0,81;500;8;30
1,058;0,738;0,126;0,81;700;8;30
1,058;0,738;0,128;0,808;900;8;30
1,058;0,738;0,128;0,81;1000;8;30
1,058;0,738;0,128;0,81;1300;8;30
1,058;0,738;0,126;0,81;1500;8;30
1,058;0,738;0,128;0,81;1700;8;30
1,058;0,738;0,126;0,81;2000;8;30
1,074;0,728;0,098;0,822;100;9;30
1,062;0,738;0,118;0,816;300;9;30
1,06;0,742;0,122;0,814;500;9;30
1,06;0,742;0,126;0,814;700;9;30
1,06;0,742;0,124;0,812;900;9;30
1,062;0,74;0,122;0,812;1000;9;30
1,062;0,74;0,122;0,814;1300;9;30
1,062;0,742;0,124;0,814;1500;9;30
1,06;0,742;0,124;0,814;1700;9;30
1,058;0,742;0,126;0,812;2000;9;30
1,056;0,748;0,146;0,812;100;1;50
1,06;0,764;0,15;0,81;300;1;50
1,06;0,768;0,15;0,814;500;1;50
1,058;0,772;0,154;0,814;700;1;50
1,058;0,772;0,158;0,812;900;1;50
1,058;0,772;0,158;0,81;1000;1;50
1,058;0,776;0,156;0,812;1300;1;50
1,056;0,774;0,154;0,81;1500;1;50
1,058;0,776;0,154;0,81;1700;1;50
1,058;0,776;0,154;0,812;2000;1;50
1,046;0,812;0,158;0,802;100;2;50
1,05;0,826;0,148;0,806;300;2;50
1,044;0,828;0,156;0,802;500;2;50
1,046;0,828;0,16;0,8;700;2;50
1,046;0,83;0,154;0,802;900;2;50
1,044;0,828;0,156;0,802;1000;2;50
1,044;0,828;0,158;0,802;1300;2;50
1,044;0,828;0,158;0,802;1500;2;50
1,046;0,828;0,154;0,802;1700;2;50
1,046;0,828;0,156;0,802;2000;2;50
1,06;0,814;0,122;0,812;100;3;50
1,052;0,832;0,144;0,804;300;3;50
1,05;0,834;0,146;0,804;500;3;50
1,05;0,834;0,148;0,804;700;3;50
1,048;0,834;0,146;0,802;900;3;50
1,052;0,834;0,146;0,806;1000;3;50
1,05;0,834;0,148;0,806;1300;3;50
1,048;0,834;0,146;0,806;1500;3;50
1,048;0,834;0,146;0,804;1700;3;50
1,048;0,834;0,146;0,804;2000;3;50
1,048;0,824;0,138;0,81;100;4;50
1,048;0,834;0,146;0,804;300;4;50
1,048;0,84;0,14;0,804;500;4;50
1,05;0,842;0,142;0,804;700;4;50
1,05;0,842;0,142;0,804;900;4;50
1,05;0,842;0,144;0,804;1000;4;50
1,05;0,842;0,144;0,804;1300;4;50
1,05;0,84;0,146;0,804;1500;4;50
1,05;0,842;0,144;0,804;1700;4;50
1,048;0,842;0,146;0,804;2000;4;50
1,058;0,828;0,13;0,81;100;5;50
1,052;0,838;0,14;0,81;300;5;50
1,05;0,84;0,142;0,806;500;5;50
1,052;0,84;0,14;0,806;700;5;50
1,05;0,842;0,142;0,804;900;5;50
1,05;0,844;0,14;0,806;1000;5;50
1,05;0,842;0,144;0,804;1300;5;50
1,05;0,844;0,142;0,804;1500;5;50
1,048;0,844;0,142;0,802;1700;5;50
1,048;0,844;0,146;0,802;2000;5;50
1,05;0,83;0,14;0,806;100;6;50
1,052;0,844;0,142;0,806;300;6;50
1,05;0,844;0,146;0,802;500;6;50
1,048;0,844;0,146;0,802;700;6;50
1,048;0,844;0,146;0,802;900;6;50
1,046;0,844;0,148;0,804;1000;6;50
1,05;0,844;0,142;0,804;1300;6;50
1,05;0,844;0,144;0,804;1500;6;50
1,05;0,848;0,144;0,804;1700;6;50
1,05;0,848;0,144;0,804;2000;6;50
1,052;0,834;0,136;0,81;100;7;50
1,054;0,842;0,136;0,806;300;7;50
1,054;0,848;0,136;0,808;500;7;50
1,052;0,846;0,138;0,806;700;7;50
1,054;0,846;0,14;0,806;900;7;50
1,052;0,846;0,14;0,806;1000;7;50
1,05;0,846;0,14;0,804;1300;7;50
1,048;0,848;0,14;0,806;1500;7;50
1,048;0,848;0,142;0,804;1700;7;50
1,05;0,848;0,14;0,804;2000;7;50
1,058;0,838;0,126;0,808;100;8;50
1,05;0,846;0,138;0,8;300;8;50
1,05;0,846;0,14;0,804;500;8;50
1,048;0,846;0,142;0,802;700;8;50
1,048;0,846;0,148;0,802;900;8;50
1,048;0,846;0,146;0,8;1000;8;50
1,048;0,848;0,142;0,804;1300;8;50
1,048;0,848;0,14;0,804;1500;8;50
1,05;0,848;0,14;0,804;1700;8;50
1,05;0,848;0,14;0,804;2000;8;50
1,056;0,84;0,12;0,81;100;9;50
1,058;0,848;0,126;0,812;300;9;50
1,054;0,848;0,132;0,806;500;9;50
1,054;0,846;0,136;0,806;700;9;50
1,054;0,852;0,136;0,806;900;9;50
1,052;0,852;0,138;0,806;1000;9;50
1,054;0,852;0,138;0,806;1300;9;50
1,054;0,852;0,14;0,806;1500;9;50
1,054;0,852;0,14;0,808;1700;9;50
1,054;0,852;0,136;0,804;2000;9;50
1,066;0,768;0,134;0,818;100;1;70
1,062;0,788;0,146;0,816;300;1;70
1,06;0,792;0,152;0,81;500;1;70
1,058;0,794;0,154;0,81;700;1;70
1,058;0,798;0,154;0,81;900;1;70
1,058;0,796;0,156;0,81;1000;1;70
1,058;0,798;0,156;0,808;1300;1;70
1,058;0,8;0,158;0,81;1500;1;70
1,058;0,8;0,154;0,81;1700;1;70
1,056;0,798;0,154;0,808;2000;1;70
1,044;0,874;0,164;0,794;100;2;70
1,038;0,884;0,174;0,792;300;2;70
1,042;0,888;0,168;0,796;500;2;70
1,042;0,89;0,17;0,796;700;2;70
1,04;0,892;0,168;0,796;900;2;70
