"RMSE";"R2_adjusted_train";"R2_adjusted_test";"MAE";"ntree";"mtry";"nodesize"
2,972;0,558;0,08;2,406;300;4;20
2,97;0,562;0,08;2,406;500;4;20
2,972;0,56;0,08;2,408;700;4;20
2,974;0,562;0,076;2,412;900;4;20
2,974;0,562;0,074;2,412;1000;4;20
2,978;0,564;0,074;2,412;1300;4;20
2,976;0,566;0,076;2,41;1500;4;20
2,976;0,564;0,076;2,41;1700;4;20
2,976;0,564;0,076;2,408;2000;4;20
2,978;0,552;0,078;2,414;100;5;20
2,978;0,57;0,072;2,416;300;5;20
2,984;0,566;0,07;2,418;500;5;20
2,98;0,566;0,076;2,414;700;5;20
2,978;0,566;0,076;2,412;900;5;20
2,98;0,566;0,076;2,414;1000;5;20
2,978;0,568;0,076;2,412;1300;5;20
2,976;0,568;0,076;2,408;1500;5;20
2,976;0,568;0,078;2,41;1700;5;20
2,976;0,57;0,078;2,406;2000;5;20
2,984;0,562;0,074;2,412;100;6;20
2,976;0,57;0,078;2,412;300;6;20
2,978;0,572;0,078;2,412;500;6;20
2,976;0,574;0,076;2,41;700;6;20
2,978;0,57;0,074;2,412;900;6;20
2,978;0,57;0,074;2,406;1000;6;20
2,978;0,57;0,074;2,41;1300;6;20
2,978;0,57;0,074;2,41;1500;6;20
2,982;0,57;0,074;2,412;1700;6;20
2,978;0,572;0,076;2,412;2000;6;20
3;0,56;0,068;2,42;100;7;20
2,994;0,572;0,068;2,424;300;7;20
2,992;0,574;0,07;2,424;500;7;20
2,992;0,578;0,07;2,422;700;7;20
2,992;0,578;0,07;2,42;900;7;20
2,988;0,578;0,07;2,422;1000;7;20
2,988;0,578;0,07;2,416;1300;7;20
2,988;0,576;0,07;2,418;1500;7;20
2,986;0,578;0,07;2,418;1700;7;20
2,988;0,576;0,07;2,42;2000;7;20
2,972;0,56;0,08;2,406;100;8;20
2,982;0,574;0,074;2,412;300;8;20
2,982;0,576;0,076;2,414;500;8;20
2,98;0,58;0,08;2,412;700;8;20
2,98;0,582;0,074;2,41;900;8;20
2,98;0,582;0,078;2,412;1000;8;20
2,98;0,582;0,074;2,412;1300;8;20
2,98;0,582;0,074;2,412;1500;8;20
2,982;0,582;0,074;2,412;1700;8;20
2,982;0,582;0,074;2,412;2000;8;20
3,002;0,572;0,064;2,424;100;9;20
2,984;0,578;0,074;2,412;300;9;20
2,98;0,58;0,078;2,41;500;9;20
2,984;0,58;0,074;2,41;700;9;20
2,98;0,58;0,078;2,408;900;9;20
2,982;0,58;0,076;2,41;1000;9;20
2,984;0,584;0,074;2,41;1300;9;20
2,984;0,584;0,074;2,412;1500;9;20
2,982;0,584;0,076;2,41;1700;9;20
2,982;0,586;0,074;2,41;2000;9;20
2,974;0,62;0,08;2,412;100;1;30
2,97;0,648;0,088;2,406;300;1;30
2,97;0,652;0,086;2,412;500;1;30
2,972;0,652;0,084;2,412;700;1;30
2,968;0,652;0,088;2,408;900;1;30
2,972;0,652;0,086;2,408;1000;1;30
2,972;0,654;0,086;2,408;1300;1;30
2,972;0,652;0,086;2,408;1500;1;30
2,97;0,652;0,088;2,408;1700;1;30
2,968;0,652;0,088;2,406;2000;1;30
2,974;0,642;0,076;2,4;100;2;30
2,968;0,656;0,084;2,398;300;2;30
2,964;0,66;0,086;2,398;500;2;30
2,96;0,66;0,09;2,396;700;2;30
2,958;0,66;0,09;2,396;900;2;30
2,958;0,66;0,09;2,394;1000;2;30
2,96;0,66;0,09;2,394;1300;2;30
2,96;0,662;0,09;2,39;1500;2;30
2,96;0,662;0,09;2,392;1700;2;30
2,96;0,662;0,09;2,394;2000;2;30
2,976;0,65;0,078;2,402;100;3;30
2,976;0,656;0,08;2,404;300;3;30
2,97;0,66;0,082;2,398;500;3;30
2,972;0,662;0,082;2,398;700;3;30
