"ID_2","Programme","Annee","ID_Site","Protocole","AB_tot","BM_tot","Richesse_tot","LC_","Long","Lat","Sand","Silt","Clay","pH","N","P","K","CN","CaCO3","C_org","tas_mean_3","tas_mean_6","tas_mean_120","tas_sd_3","tas_sd_6","tas_sd_120","tasmax_mean_3","tasmax_mean_6","tasmax_mean_120","tasmax_sd_3","tasmax_sd_6","tasmax_sd_120","tasmin_mean_3","tasmin_mean_6","tasmin_mean_120","tasmin_sd_3","tasmin_sd_6","tasmin_sd_120","pr_mean_3","pr_mean_6","pr_mean_120","pr_sd_3","pr_sd_6","pr_sd_120","pet_mean_3","pet_mean_6","pet_mean_120","pet_sd_3","pet_sd_6","pet_sd_120"
2285,"SBT-ENI-TB","2021","331","HS",208.333333333333,7.35,3,"Nial",3.02530917412,49.8705839742,9.7,65.1,25.2,7.55556774139404,1.71202516555786,58.6614799499512,226.292739868164,9.59501171112061,108.752532958984,0.5,8.48333333333337,13.2833333333334,11.3962264150944,3.47898452617044,5.87185376747979,5.39237865224618,11.3166666666667,17.2,15.133962264151,3.98789836045672,7.0630729856062,6.13936768564278,5.98333333333335,9.76666666666668,7.47830188679248,3.32615894589137,4.74106176575106,4.84417676365347,45.7766666666667,50.7716666666667,56.9443,15.0529543058276,17.716206610521,27.3847990074196,65.3533333333333,46.0916666666667,74.5873469387755,24.725214525527,26.3495946205377,40.8367596569617
2286,"SBT-ENI-TB","2022","331","HS",25,0.64375,1,"Nial",3.02530917412,49.8705839742,9.7,65.1,25.2,7.55556774139404,1.71202516555786,58.6614799499512,226.292739868164,9.59501171112061,108.752532958984,0.5,8.48333333333337,13.2833333333334,11.3882978723404,3.47898452617044,5.87185376747979,5.42118715687698,11.3166666666667,17.2,15.1212765957447,3.98789836045672,7.0630729856062,6.17221701408082,5.98333333333335,9.76666666666668,7.48404255319151,3.32615894589137,4.74106176575106,4.88259038404665,45.7766666666667,50.7716666666667,58.2076136363636,15.0529543058276,17.716206610521,25.8534130784125,65.3533333333333,46.0916666666667,74.3618604651163,24.725214525527,26.3495946205377,40.9881525640714
2287,"SBT-ENI-TB","2019","336","HS",70.8333333333333,NA,3,"Nial",3.09104337751,49.693519255,14.9,68.7,16.3,7.5249457359314,1.7326991558075,57.3375396728516,299.117309570312,9.60604667663574,49.3993835449219,0.5,6.2166666666667,7.43333333333337,11.2725,2.65769323537033,3.02153382682813,5.63717347523703,9.51666666666667,10.8666666666667,14.94,3.3261589458914,3.88505684214101,6.38504555368942,2.48333333333335,4.13333333333336,7.30000000000002,2.11974841274461,2.88056707380104,5.00354496181197,53.4633333333333,57.2,55.98925,18.3622475022349,23.8889916070143,27.5292637928985,43.6966666666667,40.99,74.7741666666667,22.4796937998126,17.9739633915283,42.0496779148794
2288,"SBT-ENI-TB","2019","433","HS",129.166666666667,NA,3,"Nial",3.17097713535,49.602265902,42.8,41.7,15.5,7.22038412094116,1.80094158649445,49.7454261779785,253.436401367188,9.72114372253418,59.791862487793,0.4,6.38333333333336,7.60000000000003,11.5275,2.7098585448937,3.05728637847357,5.71659037033308,9.65000000000001,11.05,15.1941666666667,3.43947670438398,3.9839678713564,6.47605539023308,2.61666666666669,4.30000000000003,7.53000000000002,2.17332310836041,2.91941775016869,5.07507668526738,52.9866666666667,56.96,56.12725,16.3735559159681,23.0065390704469,28.3609853025584,43.6366666666667,40.4816666666667,74.7463333333333,22.419777727117,18.363145064685,42.5723905862014
2289,"SBT-ENI-TB","2020","433","HS",75,NA,3,"Nial",3.17097713535,49.602265902,42.8,41.7,15.5,7.22038412094116,1.80094158649445,49.7454261779785,253.436401367188,9.72114372253418,59.791862487793,0.4,8.75000000000002,13.7333333333334,11.6205882352941,3.51567916624937,6.07796566843436,5.65222849318589,11.5833333333334,17.7166666666667,15.3306722689076,4.10162569395761,7.34592857756366,6.42118154435618,6.28333333333336,10.1833333333334,7.63067226890759,3.4210134950528,4.893941833192,5.03370465910267,47.3233333333333,50.155,56.3736283185841,16.9482516305763,15.2235551038514,28.7768416644712,65.2233333333333,45.6966666666667,74.2543243243243,25.2200720326754,26.7279850843019,42.1146596075226
2290,"SBT-ENI-TB","2021","433","HS",95.8333333333333,NA,3,"Nial",3.17097713535,49.602265902,42.8,41.7,15.5,7.22038412094116,1.80094158649445,49.7454261779785,253.436401367188,9.72114372253418,59.791862487793,0.4,8.75000000000002,13.7333333333334,11.7481308411215,3.51567916624937,6.07796566843436,5.5871142399175,11.5833333333334,17.7166666666667,15.5042056074767,4.10162569395761,7.34592857756366,6.34792018196291,6.28333333333336,10.1833333333334,7.7621495327103,3.4210134950528,4.893941833192,4.98947402000421,47.3233333333333,50.155,55.650396039604,16.9482516305763,15.2235551038514,28.3092452008453,65.2233333333333,45.6966666666667,74.5039393939394,25.2200720326754,26.7279850843019,42.1510736256173
2291,"SBT-ENI-TB","2022","433","HS",116.666666666667,52.85,4,"Nial",3.17097713535,49.602265902,42.8,41.7,15.5,7.22038412094116,1.80094158649445,49.7454261779785,253.436401367188,9.72114372253418,59.791862487793,0.4,8.75000000000002,13.7333333333334,11.69,3.51567916624937,6.07796566843436,5.68427094447589,11.5833333333334,17.7166666666667,15.4384210526316,4.10162569395761,7.34592857756366,6.44495288525596,6.28333333333336,10.1833333333334,7.72157894736844,3.4210134950528,4.893941833192,5.09377306877209,47.3233333333333,50.155,56.5225842696629,16.9482516305763,15.2235551038514,26.7396364176041,65.2233333333333,45.6966666666667,74.2388505747126,25.2200720326754,26.7279850843019,42.296671385481
2292,"SBT-ENI-TB","2019","373","HS",83.3333333333333,NA,3,"Nial",3.10483924482,49.4980379348,27,56.8,16.2,7.44121313095093,1.63934803009033,49.9635543823242,253.829849243164,9.36142921447754,81.9046859741211,0.3,5.91666666666669,7.18333333333336,11.0383333333334,2.61597655443112,3.06507204918035,5.66313722677631,9.25000000000002,10.7,14.7283333333334,3.42198772645373,4.03224503223701,6.41528090824187,2.15000000000002,3.90000000000002,7.03750000000002,2.06639783197719,2.94125823415762,5.01744121904329,53.8766666666667,59.505,60.56075,14.4348409528243,24.1931492369224,30.9495423775918,44.8533333333333,42.4416666666667,76.1045,22.6707219411587,18.3257626489777,42.5677265773777
2293,"SBT-ENI-TB","2020","373","HS",75,NA,4,"Nial",3.10483924482,49.4980379348,27,56.8,16.2,7.44121313095093,1.63934803009033,49.9635543823242,253.829849243164,9.36142921447754,81.9046859741211,0.3,8.35000000000002,13.3,11.131512605042,3.5,6.03580980482321,5.60352441131736,11.15,17.2833333333333,14.8659663865546,4.02864741569673,7.33012050833181,6.36863318749217,5.85,9.71666666666667,7.13739495798322,3.43947670438397,4.86894923640272,4.97959488213086,51.1133333333333,52.495,60.7937168141593,17.4474191023582,14.4014454135687,31.4446345978216,67.1,47.4916666666667,75.6297297297297,24.3776967738956,26.5459145004776,42.1012935767463
2294,"SBT-ENI-TB","2021","373","HS",87.5,NA,4,"Nial",3.10483924482,49.4980379348,27,56.8,16.2,7.44121313095093,1.63934803009033,49.9635543823242,253.829849243164,9.36142921447754,81.9046859741211,0.3,8.35000000000002,13.3,11.2584112149533,3.5,6.03580980482321,5.54086229743334,11.15,17.2833333333333,15.0397196261682,4.02864741569673,7.33012050833181,6.30065786591293,5.85,9.71666666666667,7.26869158878507,3.43947670438397,4.86894923640272,4.93849207069193,51.1133333333333,52.495,59.9019801980198,17.4474191023582,14.4014454135687,30.8480699564755,67.1,47.4916666666667,75.9279797979798,24.3776967738956,26.5459145004776,42.0966680289835
