"Richesse_tot";"gps_x";"bio4";"bio7";"gps_y";"pH";"CaCO3";"bio18";"P";"CEC";"bio13";"N";"bio16";"hurs_mean";"bio10";"PET";"bio15";"elevation";"gdd10";"bio9";"clcm_lvl3mf";"clcm_lvl3gua";"clcm_lvl3ng";"clcm_lvl3nial";"clcm_lvl3p";"clcm_lvl3v"
6;-0,852556127123823;-0,302856671935313;-0,24795554221518;-0,525764546894;-0,549030509972751;-1,08443239697332;-0,990217189732035;-0,221286802953771;-1,46442784423742;0,49725169599402;-0,140856245803007;0,416366577081251;0,698688610197963;-0,101923862913231;1,09821513138051;0,960149362757329;-0,602404494789698;-0,0743075932519199;1,12959500062651;0;0;0;0;1;0
10;-0,852553702172238;-0,302856671935313;-0,24795554221518;-0,524237792579849;-0,926757094810761;-1,08443239697332;-0,990217189732035;-0,221286802953771;-1,46442784423742;0,49725169599402;-0,140856245803007;0,416366577081251;0,698688610197963;-0,101923862913231;1,09821513138051;0,960149362757329;-0,602404494789698;-0,0743075932519199;1,12959500062651;0;0;0;0;1;0
9;-0,852553702172238;-0,302856671935313;-0,24795554221518;-0,524237792579849;-0,926757094810761;-1,08443239697332;-0,990217189732035;-0,221286802953771;-1,46442784423742;0,49725169599402;-0,140856245803007;0,416366577081251;0,698688610197963;-0,101923862913231;1,09821513138051;0,960149362757329;-0,602404494789698;-0,0743075932519199;1,12959500062651;0;0;0;0;1;0
8;-0,799363818490532;-0,218779440809298;-0,0752556389221381;-0,45783239423728;-1,11562038722977;-0,973501730799158;-1,32017652151647;-0,885604968018788;-1,15132747313511;-0,31018065009322;-0,0731610797734103;-0,281463130699881;0,169205511412357;0,251818181222702;0,816559989653856;0,548135324469731;-0,602404494789698;0,269154002418775;1,21142177368895;0;0;0;0;1;0
8;-0,799363818490532;-0,218779440809298;-0,0752556389221381;-0,45783239423728;-1,11562038722977;-0,973501730799158;-1,32017652151647;-0,885604968018788;-1,15132747313511;-0,31018065009322;-0,0731610797734103;-0,281463130699881;0,169205511412357;0,251818181222702;0,816559989653856;0,548135324469731;-0,602404494789698;0,269154002418775;1,21142177368895;0;0;0;0;1;0
8;-0,783490828911226;-0,188084578652182;-0,0752556389221381;-0,461680327731273;-1,11562038722977;-1,09527823836444;-1,42007246600166;-1,65371293571853;-1,52375470122921;-0,504880648440498;-0,597133519223408;-0,460445390044322;-0,0227321118974237;0,251818181222702;0,960890733921742;0,471836428490547;-0,602404494789698;0,281905271240083;1,21142177368895;0;0;0;0;1;0
10;-0,805137369406774;-0,225452236930411;-0,178875580897964;-0,507668321429743;-0,360167217553747;-0,929566688144002;-1,14157468137627;-1,4071042634485;-1,4401413739946;0,00477522958619949;-0,215080857660236;-0,0079621501286022;0,420709983335517;0,0395729547411341;0,892228535192359;0,670213558036427;-0,602404494789698;0,0330498635984416;1,16232570985149;0;0;0;0;1;0
9;-0,785133146099067;-0,174738986409957;-0,0752556389221381;-0,464998125542156;-1,11562038722977;-1,05447939126024;-1,36558376900974;-1,71959015187685;-1,43815616452519;-0,418983590346111;-0,307251848091903;-0,386037035035959;0,0765459691248774;0,251818181222702;0,903438690086952;0,50235598688222;-0,602404494789698;0,282316602492383;1,21142177368895;0;0;0;0;1;0
7;-0,765637787345754;-0,182746341755292;-0,144335600239355;-0,63313301033936;-1,30448367964877;-1,06455240642865;-0,850968297419339;-0,455086041553261;-1,5081542057761;0,273919344948613;-0,149124969920417;0,372123771400603;0,321431902313216;0,110321363568337;1,07299228286767;0,685473337232264;-0,602404494789698;0,10174218273258;1,17869106446398;0;0;0;0;1;0
5;-0,765637787345754;-0,182746341755292;-0,144335600239355;-0,63313301033936;-1,30448367964877;-1,06455240642865;-0,850968297419339;-0,455086041553261;-1,5081542057761;0,273919344948613;-0,149124969920417;0,372123771400603;0,321431902313216;0,110321363568337;1,07299228286767;0,685473337232264;-0,602404494789698;0,10174218273258;1,17869106446398;0;0;0;0;1;0
10;-0,756606519214549;-0,150716920373952;-0,109795619580747;-0,698238266425802;-1,11562038722977;-0,733239559290481;-0,599714861289908;-0,196971096870098;-1,04626735981058;0,640413459484666;0,892702970177794;0,820584938072626;0,394235828396238;0,181069772395539;1,01974404711836;0,822811349994796;-0,602404494789698;0,158917226802313;1,19505641907647;0;0;0;0;1;0
