"shrinkage";"n.trees";"interaction.depth";"n.minobsinnode";"rmse";"r_squared";"mae"
0,001;1500;10;2;6,03;0,335910901481714;4,63189138877042
0,001;1700;10;2;5,99;0,338091454120718;4,59527470847935
0,001;2000;10;2;5,94;0,341916090248617;4,55243289532517
0,001;3000;10;2;5,86;0,347104110893299;4,47798935854341
0,002;1000;10;2;5,95;0,340686403976867;4,55459261360636
0,002;1500;10;2;5,85;0,348661403080333;4,47573866816184
0,002;1700;10;2;5,83;0,351672568489401;4,45118221376653
0,002;2000;10;2;5,82;0,353050339847081;4,4365736662335
0,002;3000;10;2;5,77;0,360914134019848;4,39495827048053
0,005;1000;10;2;5,79;0,35806412749314;4,41133764293185
0,005;1500;10;2;5,74;0,366390100563138;4,37665188979593
0,005;1700;10;2;5,73;0,36835241031249;4,36545833324897
0,005;2000;10;2;5,69;0,375549846332282;4,34726573709442
0,005;3000;10;2;5,7;0,373985832674102;4,33698326243694
0,01;1000;3;5;5,91;0,329023509648635;4,51455640510454
0,01;1500;3;5;5,87;0,336010045059934;4,47775503106027
0,01;1700;3;5;5,85;0,339806839486303;4,48023603865514
0,01;2000;3;5;5,84;0,342388988389064;4,46977864452526
0,01;3000;3;5;5,81;0,3493381408959;4,4511536889088
0,02;1000;3;5;5,85;0,341520582166838;4,47574640794448
0,02;1500;3;5;5,81;0,349682113026939;4,43763427378388
0,02;1700;3;5;5,85;0,341102253145654;4,4778353682445
0,02;2000;3;5;5,82;0,348105736837959;4,44863777770911
0,02;3000;3;5;5,85;0,341593798472122;4,47799672978043
0,05;1000;3;5;5,81;0,349859544341723;4,46574356763685
0,05;1500;3;5;5,87;0,339920092998419;4,50320644197307
0,05;1700;3;5;5,91;0,332268912959484;4,51602175430765
0,05;2000;3;5;5,86;0,343415590066757;4,48216216510348
0,05;3000;3;5;5,95;0,328481575501179;4,51069819841998
0,001;1000;3;5;6,44;0,269802726540203;4,97366256656078
0,001;1500;3;5;6,29;0,281471718155785;4,85100724474931
0,001;1700;3;5;6,25;0,283567582294282;4,82243374125409
0,001;2000;3;5;6,2;0,287272866459355;4,77995555838517
0,001;3000;3;5;6,1;0,298711920115014;4,69386967290688
0,002;1000;3;5;6,2;0,287672534778955;4,77930325271897
0,002;1500;3;5;6,1;0,298286162087738;4,69429639537749
0,002;1700;3;5;6,08;0,301288037196751;4,67429502089109
0,002;2000;3;5;6,05;0,305518805586717;4,64482103425953
0,002;3000;3;5;5,98;0,317055332613829;4,5772574292707
0,005;1000;3;5;6,01;0,311416594476287;4,60490481624126
0,005;1500;3;5;5,96;0,320003227419316;4,55867769368131
0,005;1700;3;5;5,93;0,324136290088203;4,53161191920646
0,005;2000;3;5;5,91;0,328029879167067;4,51869519611903
0,005;3000;3;5;5,87;0,33740561484957;4,4816886752167
0,01;1000;5;5;5,81;0,350632196432807;4,4402390275164
0,01;1500;5;5;5,78;0,355965385684039;4,42583496967229
0,01;1700;5;5;5,79;0,353702979018171;4,4149268395025
0,01;2000;5;5;5,75;0,362036999940013;4,39789609281668
0,01;3000;5;5;5,77;0,357435818653541;4,4085340599905
0,02;1000;5;5;5,8;0,351069066774815;4,44318864366544
0,02;1500;5;5;5,78;0,356296249661335;4,40758769595848
0,02;1700;5;5;5,76;0,361695959878177;4,39883336691008
0,02;2000;5;5;5,74;0,364640495186481;4,38650184818101
0,02;3000;5;5;5,85;0,345048259925472;4,45725808016155
0,05;1000;5;5;5,88;0,339298975867047;4,43740479312038
0,05;1500;5;5;5,94;0,327176467601661;4,52332209401545
0,05;1700;5;5;5,88;0,343170264852309;4,4633974731636
0,05;2000;5;5;5,94;0,330990490547516;4,51606827572974
0,05;3000;5;5;6;0,323806814701453;4,58700121230482
0,001;1000;5;5;6,32;0,296153013925597;4,87694411324735
0,001;1500;5;5;6,17;0,304743428230879;4,75095981899097
0,001;1700;5;5;6,13;0,309576591424048;4,71366419269047
0,001;2000;5;5;6,08;0,312341370568579;4,67296855436181
0,001;3000;5;5;5,99;0,321656347268348;4,59184280751274
0,002;1000;5;5;6,08;0,31239999383402;4,67115683091898
0,002;1500;5;5;5,99;0,32038257036064;4,59094903644567
0,002;1700;5;5;5,96;0,324629136588984;4,56673723730671
0,002;2000;5;5;5,93;0,328879117314801;4,54028166171223
0,002;3000;5;5;5,89;0,334079880349522;4,49771700853731
0,005;1000;5;5;5,9;0,334720593301756;4,50489931859006
0,005;1500;5;5;5,86;0,339522692383016;4,47610070320621
0,005;1700;5;5;5,85;0,340735878746187;4,46878707970904
