"shrinkage";"n.trees";"interaction.depth";"n.minobsinnode";"rmse";"r_squared";"mae"
0,01;3000;3;5;2;0,504741649580902;1,53053216237147
0,02;1000;3;5;2,03;0,493285255039093;1,55821797422124
0,02;1500;3;5;2,01;0,504426315180227;1,5296616173361
0,02;1700;3;5;2,01;0,503956254316681;1,52827822659376
0,02;2000;3;5;2;0,506797147110832;1,52778659563694
0,02;3000;3;5;2;0,508123218202204;1,51794967515793
0,05;1000;3;5;2,01;0,50210630896363;1,51770450064434
0,05;1500;3;5;2,01;0,500466163000698;1,5373004376757
0,05;1700;3;5;2,03;0,492752221398513;1,55182846167901
0,05;2000;3;5;2,02;0,495614885472615;1,53381452664346
0,05;3000;3;5;2,05;0,480571417583598;1,57282240474297
0,001;1000;3;5;2,37;0,414936327439564;1,87070479284547
0,001;1500;3;5;2,27;0,428156893059783;1,79186832943911
0,001;1700;3;5;2,24;0,431607073868944;1,76920775699674
0,001;2000;3;5;2,21;0,437596555454362;1,73911506966633
0,001;3000;3;5;2,14;0,452566410504758;1,67334197706391
0,002;1000;3;5;2,21;0,438169989161663;1,73806989613608
0,002;1500;3;5;2,15;0,451644151035499;1,67364140075344
0,002;1700;3;5;2,13;0,457733063485568;1,65681896853279
0,002;2000;3;5;2,12;0,459657238541316;1,64507376217726
0,002;3000;3;5;2,09;0,471799280572546;1,61575955386694
0,005;1000;3;5;2,1;0,4671626859102;1,62889326646108
0,005;1500;3;5;2,07;0,477332671451745;1,60110485094746
0,005;1700;3;5;2,06;0,482241933092859;1,58965232045645
0,005;2000;3;5;2,05;0,489381505584206;1,57810086615111
0,005;3000;3;5;2,04;0,490588794093854;1,56815423487271
0,01;1000;5;5;2,02;0,499869364622675;1,54770007145481
0,01;1500;5;5;2;0,510156849367032;1,52523802687293
0,01;1700;5;5;1,99;0,512086223869659;1,51870758345152
0,01;2000;5;5;2;0,508262446020938;1,5267949768926
0,01;3000;5;5;2;0,506316546400726;1,51757730451931
0,02;1000;5;5;2;0,50678205782193;1,52351633093004
0,02;1500;5;5;1,99;0,509715993565303;1,51111492460831
0,02;1700;5;5;1,99;0,51144821562642;1,50922872779741
0,02;2000;5;5;1,98;0,514557437558427;1,50550268494223
0,02;3000;5;5;2;0,504784316853551;1,51713369829999
0,05;1000;5;5;2;0,506637408067715;1,51021749242209
0,05;1500;5;5;2,01;0,498689632597292;1,52348530240154
0,05;1700;5;5;2,02;0,494633616055726;1,56280412502435
0,05;2000;5;5;2,05;0,479869604521681;1,56826680573777
0,05;3000;5;5;2,05;0,479955445182566;1,56883685802056
0,001;1000;5;5;2,31;0,44098857075933;1,82592436567902
0,001;1500;5;5;2,21;0,453849811752335;1,74015855612004
0,001;1700;5;5;2,19;0,457897267362153;1,71658256620095
0,001;2000;5;5;2,15;0,463861757374248;1,68398133111917
0,001;3000;5;5;2,1;0,47574222457002;1,62579667929356
0,002;1000;5;5;2,15;0,463179699589835;1,68447823981134
0,002;1500;5;5;2,1;0,475045733102692;1,62621566348545
0,002;1700;5;5;2,08;0,478542286742943;1,61569372832623
0,002;2000;5;5;2,07;0,482736633099105;1,60276540792861
0,002;3000;5;5;2,04;0,494534161611508;1,57159017093879
0,005;1000;5;5;2,06;0,48583106974988;1,58978510881005
0,005;1500;5;5;2,03;0,496924078747344;1,56069891104023
0,005;1700;5;5;2,02;0,500006803690776;1,55680455342487
0,005;2000;5;5;2,02;0,500784259989208;1,54824537828003
0,005;3000;5;5;2;0,508358670684281;1,53335609144705
0,01;1000;6;5;2;0,508392473356543;1,5324643882547
0,01;1500;6;5;1,99;0,514476862097241;1,51390575657026
0,01;1700;6;5;1,99;0,510194718950756;1,51890464302901
0,01;2000;6;5;1,98;0,51713135615372;1,50826488772562
0,01;3000;6;5;1,98;0,51528777258189;1,50389205768425
0,02;1000;6;5;2;0,506976008612795;1,52411930044587
0,02;1500;6;5;1,99;0,509094334436711;1,51379395470922
0,02;1700;6;5;1,99;0,512112645349338;1,51544125759961
