"shrinkage";"n.trees";"interaction.depth";"n.minobsinnode";"rmse";"r_squared";"mae"
0,005;1700;10;2;3,48;0,278027196532154;2,69386493408487
0,005;2000;10;2;3,47;0,283517741806791;2,68230034494044
0,005;3000;10;2;3,49;0,276174441407121;2,7113128241988
0,01;1000;3;5;3,47;0,280196731562844;2,69401166331563
0,01;1500;3;5;3,45;0,288600643149555;2,67092584781948
0,01;1700;3;5;3,45;0,286615402765427;2,6734616465515
0,01;2000;3;5;3,47;0,282389441778928;2,68614435571218
0,01;3000;3;5;3,47;0,283056073603905;2,68900772403515
0,02;1000;3;5;3,45;0,287251583193099;2,68156394255344
0,02;1500;3;5;3,45;0,287095062237748;2,67190459404575
0,02;1700;3;5;3,5;0,271471982158036;2,70461025543979
0,02;2000;3;5;3,49;0,276240658925254;2,69676585089609
0,02;3000;3;5;3,49;0,274394276196375;2,71454198014919
0,05;1000;3;5;3,51;0,26650880276183;2,72643314986164
0,05;1500;3;5;3,52;0,267299540436998;2,70344380389652
0,05;1700;3;5;3,51;0,273149978753185;2,73569821981726
0,05;2000;3;5;3,63;0,237336763195428;2,83264463602196
0,05;3000;3;5;3,61;0,249215089321818;2,80711213264604
0,001;1000;3;5;3,67;0,244567730506003;2,84299385579493
0,001;1500;3;5;3,61;0,24929196063917;2,80078596167703
0,001;1700;3;5;3,6;0,250917010902644;2,79140389500028
0,001;2000;3;5;3,58;0,254124908174605;2,77519888159807
0,001;3000;3;5;3,54;0,261464842797265;2,74744268635349
0,002;1000;3;5;3,58;0,255010122554224;2,77512758126868
0,002;1500;3;5;3,54;0,259809248814652;2,74875965138423
0,002;1700;3;5;3,53;0,262723371013635;2,73995813629289
0,002;2000;3;5;3,51;0,267246558805871;2,73316616779103
0,002;3000;3;5;3,49;0,271888412566837;2,71341447314071
0,005;1000;3;5;3,49;0,27290402082812;2,71727737935593
0,005;1500;3;5;3,48;0,277176684369566;2,7000995559282
0,005;1700;3;5;3,46;0,284613272705051;2,68310855179493
0,005;2000;3;5;3,47;0,280905789494048;2,68861265909265
0,005;3000;3;5;3,46;0,286089157496609;2,67850878485825
0,01;1000;5;5;3,44;0,293881389538664;2,66224712222145
0,01;1500;5;5;3,45;0,286991625972261;2,67539577013551
0,01;1700;5;5;3,46;0,285131504065635;2,67384540099973
0,01;2000;5;5;3,46;0,288607908110835;2,67002754106676
0,01;3000;5;5;3,49;0,276567146150124;2,71076418605352
0,02;1000;5;5;3,47;0,280539623298905;2,69436082754733
0,02;1500;5;5;3,49;0,274354872641837;2,70174519368927
0,02;1700;5;5;3,5;0,27388014566541;2,71000481485345
0,02;2000;5;5;3,54;0,264233435965541;2,73508125658679
0,02;3000;5;5;3,55;0,260321915477701;2,74030591561037
0,05;1000;5;5;3,51;0,274028200615132;2,72809788558879
0,05;1500;5;5;3,56;0,266032446571554;2,77579262550107
0,05;1700;5;5;3,68;0,222974341329397;2,85768154504111
0,05;2000;5;5;3,62;0,241300198138178;2,8113299334211
0,05;3000;5;5;3,74;0,21593275273809;2,88218775444186
0,001;1000;5;5;3,63;0,258689099458195;2,81767217884473
0,001;1500;5;5;3,57;0,264243530988865;2,76381949892557
0,001;1700;5;5;3,55;0,268360187767362;2,74681451972608
0,001;2000;5;5;3,53;0,270039493365043;2,7347581714413
0,001;3000;5;5;3,5;0,274875948364684;2,71013696812127
0,002;1000;5;5;3,54;0,267107956757228;2,73956398170063
0,002;1500;5;5;3,49;0,277538386721812;2,70838764570713
0,002;1700;5;5;3,48;0,279343314945524;2,70060087302971
0,002;2000;5;5;3,47;0,281332761946433;2,69539414087063
0,002;3000;5;5;3,45;0,28716487828401;2,67928718998335
0,005;1000;5;5;3,46;0,286109334565798;2,68097511633167
0,005;1500;5;5;3,46;0,285055474283463;2,67942482892984
0,005;1700;5;5;3,44;0,292047284329885;2,67231332262522
0,005;2000;5;5;3,45;0,289953558436866;2,66820193412335
