"mtry";"ntree";"maxnodes";"rmse";"r_squared";"mae"
20;100;10;3,53316412547044;0,253574721796927;2,73408002381512
20;300;10;3,5415584255174;0,248950417954686;2,73747997713223
20;500;10;3,5500801470832;0,244879665265369;2,74492511206009
20;700;10;3,54236069626699;0,248798999869949;2,73872161111662
20;900;10;3,54672947127776;0,246637693492388;2,74087273380352
20;1000;10;3,54893208982583;0,245399307604513;2,74520129724981
20;1300;10;3,54563836852157;0,247027283062173;2,74101225546963
20;1500;10;3,54602104114741;0,247068447952846;2,74140506262702
20;1700;10;3,54969636499718;0,245370672879759;2,74218500438
20;2000;10;3,5521407686631;0,244142157038437;2,74559858152631
22;100;10;3,54336241289871;0,247862283824284;2,7388732683739
22;300;10;3,54947934907834;0,244916771504231;2,74351566809639
22;500;10;3,54654258157864;0,246295946985593;2,74220364751407
22;700;10;3,54468929878683;0,247256361112626;2,74190461271726
22;900;10;3,54942674185779;0,244769706323654;2,74374115835413
22;1000;10;3,54534448507712;0,246698942371378;2,73993048279012
22;1300;10;3,54962252905208;0,244782081337873;2,74259221162073
22;1500;10;3,54825407422716;0,245415338013399;2,74346958923469
22;1700;10;3,54846913391808;0,245302194855333;2,74388616491499
22;2000;10;3,54477575917592;0,247119816229919;2,74040833698691
24;100;10;3,54244937680759;0,249073502238869;2,73557308643335
24;300;10;3,5447905944758;0,247175478074933;2,73745115370516
24;500;10;3,54527526317906;0,246679602405025;2,73824983406635
24;700;10;3,54530094358975;0,246596351940073;2,74000872462436
24;900;10;3,54888066907138;0,245198539048451;2,74215668086801
24;1000;10;3,54716463255038;0,245694490829163;2,74267710934979
24;1300;10;3,5480476787989;0,245494818952806;2,7411080458644
24;1500;10;3,54813593091694;0,245256395252069;2,74192424779438
24;1700;10;3,54739340970392;0,245729519479618;2,74167160236389
24;2000;10;3,54754639395851;0,245517102441237;2,74118674669226
2;100;20;3,63597654258727;0,245309725076343;2,79502284327319
2;300;20;3,62880044375866;0,246374909541345;2,79465007398123
2;500;20;3,63545103119643;0,241067909923272;2,79927793686895
2;700;20;3,63825283659923;0,238693364201602;2,79965425022368
2;900;20;3,63347171524886;0,241453759237719;2,79793588570698
2;1000;20;3,63743217830083;0,238448959752291;2,80082898277356
2;1300;20;3,64001065204343;0,23835227554739;2,80163446201205
2;1500;20;3,6341776615915;0,238867660492445;2,79767877941523
2;1700;20;3,63418680534874;0,242167163762859;2,79762442902073
2;2000;20;3,63604702217915;0,240373517683327;2,79958726028464
4;100;20;3,56892338110154;0,253631350929889;2,75548515914857
4;300;20;3,57880229972933;0,249731999763731;2,75920814146257
4;500;20;3,56525569359901;0,254088703990831;2,75131048946983
4;700;20;3,56212952336926;0,257187648542032;2,74967511812295
4;900;20;3,56853841589478;0,253004830743683;2,75105416588451
4;1000;20;3,5664520429772;0,255601931590019;2,75288782663563
4;1300;20;3,56796988969835;0,253363471304623;2,75557772916969
4;1500;20;3,56960479345195;0,252581486681783;2,75333031543072
4;1700;20;3,56595936967006;0,255922321099205;2,75016163145383
4;2000;20;3,56416800954321;0,255536696425013;2,74963275755717
6;100;20;3,53542144747458;0,260337976451733;2,72909769917757
6;300;20;3,52464131578089;0,2666097486493;2,71746385340849
6;500;20;3,52877048476455;0,263272399889184;2,72602828186739
6;700;20;3,5370763753941;0,259792811123445;2,72961546351127
6;900;20;3,54042260388741;0,258033349330455;2,73261663405201
6;1000;20;3,53631936177852;0,259691958925261;2,72938470902533
6;1300;20;3,53387741779971;0,260909731281981;2,72559228679852
6;1500;20;3,5376645762012;0,259247236211457;2,73078438756532
6;1700;20;3,53039554880683;0,262497981727857;2,72668876004239
6;2000;20;3,53801185717855;0,259042405256366;2,72965257001074
8;100;20;3,5153737874252;0,265097827803016;2,71146792708319
8;300;20;3,52534108627544;0,260250552696645;2,72292532467281
8;500;20;3,5204162383053;0,261900131625867;2,72561010206092
8;700;20;3,52219511024873;0,262071564096352;2,71848101615466
8;900;20;3,51796638138248;0,263537605466183;2,71394229768359
8;1000;20;3,52393297424769;0,261263937592548;2,71911369540749
8;1300;20;3,51919351719804;0,263402254147674;2,71864840760943
8;1500;20;3,51690448876492;0,264458146839659;2,71651625697782
8;1700;20;3,51971709386951;0,262652968444547;2,71844204035735
8;2000;20;3,517961123722;0,263235087421482;2,71681779728952
10;100;20;3,52990014263874;0,25603433539893;2,72676343437041
10;300;20;3,51714752634868;0,260933689770387;2,71703914085846
10;500;20;3,50544795882883;0,266942412889119;2,70913285140745
10;700;20;3,50606602372192;0,265706859766354;2,71419625607536
10;900;20;3,51168417160508;0,264857761943273;2,7111232272188
10;1000;20;3,51278865841593;0,263544879679942;2,71339351038632
10;1300;20;3,51639101501182;0,261349182920598;2,7176569519519
