"ID_2";"AB_tot";"BM_tot";"Richesse_tot"
"VitiEcobioSol-CIBC_MB_Ferti_2007_MB_Ferti_M";131,666666666667;104,884916666667;6
"VitiEcobioSol-CIBC_MB_Ferti_2007_MB_Ferti_O";149;89,7618333333335;6
"VitiEcobioSol-CIBC_MB_Ferti_2007_MB_Ferti_R";99,8333333333331;82,5026833333334;6
"VitiEcobioSol-CIBC_MB_Ferti_2007_MB_Ferti_T";105,166666666667;85,4309666666666;5,5
"VitiEcobioSol-CIBC_PLU_Desherb_2002_PLU_Desherb_ES";136,333333333333;70,82;6
"VitiEcobioSol-CIBC_PLU_Desherb_2002_PLU_Desherb_MA";174;173,936866666667;6
"VitiEcobioSol-CIBC_PLU_Desherb_2002_PLU_Desherb_PA";61,6666666666667;57,3914666666667;6
"VitiEcobioSol-CIBC_PLU_Desherb_2005_PLU_Desherb_ES";81,3333333333333;70,9654333333333;6
"VitiEcobioSol-CIBC_PLU_Desherb_2005_PLU_Desherb_MA";45;42,8581333333333;6
"VitiEcobioSol-CIBC_PLU_Desherb_2005_PLU_Desherb_PA";39;35,3856666666667;6
"VitiEcobioSol-CIBC_PLU_Ferti_1994_PLU_Ferti_A";21;24,1852666666667;6
"VitiEcobioSol-CIBC_PLU_Ferti_1994_PLU_Ferti_G";43;41,8568;5
"VitiEcobioSol-CIBC_PLU_Ferti_1994_PLU_Ferti_S";18,6666666666667;18,8171666666667;6
"VitiEcobioSol-CIBC_PLU_Ferti_1994_PLU_Ferti_T";41,3333333333333;34,1835333333333;6
"VitiEcobioSol-CIBC_PN_Multi_1991_PN_Multi_D";8;6,03666666666667;1
"VitiEcobioSol-CIBC_PN_Multi_1991_PN_Multi_S";2;1,91466666666667;1
"VitiEcobioSol-CIBC_VER_Enherb_1999_VER_Enherb_E";11;8,72333333333333;3
"VitiEcobioSol-CIBC_VER_Enherb_1999_VER_Enherb_S";12,3333333333333;35,6136666666667;1
"VitiEcobioSol-CIBC_VER_Enherb_1999_VER_Enherb_T";79;92,1546666666667;2
