"Observed";"Predicted"
3,00000000000001;3,62523409560169
4;3,79586375345751
4;3,31958582178423
4;3,35458071127622
5;4,68685604844108
7;6,93188335008425
4;3,49319028110894
4;4,90812464585402
7;3,5734291415754
4;4,11539464987676
4;5,49249622742939
8;4,93031860464348
1;0,336457141197669
2,00000000000001;2,79248645923568
2,00000000000001;1,15290930310521
0;2,57447725692675
2,00000000000001;2,57447725692675
4;1,86695330267048
1;0,4863781441232
4;2,07362680426702
4;4,90734393526497
2,00000000000001;4,76119542897868
5;4,905346668957
5;4,905346668957
7;2,21473084060904
1;4,4575468512237
6,00000000000001;5,64342109299496
0;3,25370871987341
2,00000000000001;0,590957940301487
3,00000000000001;4,55224489943278
5;2,90856095850648
2,00000000000001;1,40019899659095
1;1,40019899659095
2,00000000000001;2,17602453507293
6,00000000000001;4,29842569084763
0;1,71604367789212
3,00000000000001;1,75143029687108
0;3,08567715154949
1;2,57165038353138
5;3,79887560473111
4;5,98734820590621
1;3,08211047261311
2,00000000000001;3,88375363716247
7;5,53989885466482
3,00000000000001;1,56592564108109
6,00000000000001;4,73478689392116
5;4,12229292950495
6,00000000000001;4,40926458433264
5;2,91466458150873
2,00000000000001;3,04169353060378
4;4,1006066305135
0;1,59261996377287
6,00000000000001;4,29846340117677
4;2,87357854398719
14;7,74995154415422
12;8,95532915856458
5;6,65045848692867
10;5,15442545941085
10;7,62175093225837
11;7,19157669582625
10;7,25694528825613
13;8,26535656660789
8;6,9437259803882
5;5,78777298717179
1;5,80000755282754
8;7,46670727229897
2,00000000000001;6,82428789290729
6,00000000000001;7,50051973192986
13;7,37611954547549
5;7,38011544975949
9;6,64811951733574
2,00000000000001;2,58093834198448
2,00000000000001;2,15303141565886
2,00000000000001;1,75479950915252
2,00000000000001;2,02962879695191
1;1,68129996111393
3,00000000000001;1,98374783096235
1;2,20801680893418
3,00000000000001;2,40034127796594
2,00000000000001;2,08619796372261
2,00000000000001;2,41525134769238
1;2,42759204620769
2,00000000000001;2,42759204620769
2,00000000000001;2,58272631201532
4;1,9444311852444
6,00000000000001;3,75284818812633
4;3,34612227117958
3,00000000000001;2,79019842478437
3,00000000000001;2,88764269363052
3,00000000000001;3,12148625357063
3,00000000000001;3,24664464112204
4;3,23090290621552
3,00000000000001;3,21233578094424
2,00000000000001;3,14200760816275
2,00000000000001;3,32670207248486
3,00000000000001;3,23090290621552
3,00000000000001;3,24664464112204
3,00000000000001;2,14187921422224
2,00000000000001;3,35258159469859
3,00000000000001;3,4397599862259
3,00000000000001;3,20586699736693
4;4,11696510573916
5;4,44780091784275
2,00000000000001;4,98817327053339
6,00000000000001;3,73382342034626
5;2,76875435415331
4;3,17136949711443
5;5,19468781832971
5;4,31183882591659
1;3,86866504045786
5;4,55172505764413
