"variables";"r_squared";"aic"
"N.inter.PET";0,0932067258894377;15635,8027352689
"P.inter.bio15";0,0930705886011753;15636,2933247757
"gps_y.inter.bio16";0,09259543418441;15638,0050324205
"gdd10.inter.PET";0,0894526152615395;15649,3042776714
"gps_y.inter.bio13";0,0840321446283406;15668,7009403908
"bio18.inter.bio16";0,0823990272149612;15674,522406197
"N.inter.bio13";0,0811168468839175;15679,0856539198
"bio18.inter.bio13";0,0796047150411185;15684,4591176361
"N.inter.bio16";0,0794170412476785;15685,1254133527
"gps_y.inter.P";0,0630673421008406;15742,656231641
"bio13.inter.bio16";0,0603376386761599;15752,1635328884
"bio16.inter.PET";0,0512388348832507;15783,6555371779
"gps_y.inter.PET";0,0449677484169316;15805,1851679824
"bio13.inter.PET";0,0406874671724835;15819,7990270224
"P.inter.bio16";0,0391125414925031;15825,1597793394
"P.inter.bio13";0,0279599988317856;15862,8714003092
"P.inter.PET";0,0251214095914514;15872,4008344116
"bio15.inter.bio13";0,0164602476852348;15901,306672382
"bio15.inter.bio16";0,0159582933953638;15902,9740866051
