ID,Programme,Annee,ID_Site,Protocole,AB_tot,BM_tot,Richesse_tot,CaCO3,gps_x,N,bio3,gps_y,clay,silt,clcm_lvl3,P,bio12
AgrHys_85_2018.03_NA_NA,AgrHys,2018,"85",HS_M_16,80,"24,7792",2,"30,8125438690186",-2.8468049894,"2,57109260559082",0.369000005722046,48.0093282507,"19,1","63,2",nial,"56,6787757873535",925.6
AgrHys_86_2018.03_NA_NA,AgrHys,2018,"86",HS_M_16,192,"47,0304",6,"30,8125438690186",-2.8389760593,"2,57109260559082",0.36800000667572,48.0096535971,"19,1","63,2",nial,"56,6787757873535",929
AgrHys_87_2018.03_NA_NA,AgrHys,2018,"87",HS_M_16,261.333333333333,"121,142933333333",4,"28,2347602844238",-2.835081699,"2,56460857391357",0.36800000667572,48.0098471217,"18,9","63,7",p,"53,4022674560547",929
AgrHys_88_2018.03_NA_NA,AgrHys,2018,"88",HS_M_16,245.333333333333,"25,8208",3,"28,2347602844238",-2.8306984089,"2,56460857391357",0.36800000667572,48.0100800972,"18,9","63,7",p,"53,4022674560547",931.9
AgrHys_89_2018.03_NA_NA,AgrHys,2018,"89",HS_M_16,213.333333333333,"103,102933333333",5,"15,8576784133911",-2.8272928933,"2,55359959602356",0.36800000667572,48.0102337841,"18,1","63,8",nial,"54,8640518188477",931.9
AgrHys_91_2018.03_NA_NA,AgrHys,2018,"91",HS_M_16,192,"54,9962666666667",5,"16,0799083709717",-2.819503974,"2,52022814750671",0.367000007629395,48.0106199309,"16,9","66,8",nial,"57,599250793457",933.5
AgrHys_92_2018.03_NA_NA,AgrHys,2018,"92",HS_M_16,90.6666666666667,"58,7066666666667",5,"16,0799083709717",-2.8156094718,"2,52022814750671",0.36800000667572,48.010812811,"16,9","66,8",nial,"57,599250793457",934.2
AgrHys_93_2018.03_NA_NA,AgrHys,2018,"93",HS_M_16,96,"21,8138666666667",2,"29,7879695892334",-2.8528565322,"2,54159784317017",0.369000005722046,48.0112383112,"18,6","63,6",nial,"57,3389320373535",922.1
AgrHys_94_2018.03_NA_NA,AgrHys,2018,"94",HS_M_16,149.333333333333,"18,6346666666667",4,"29,7879695892334",-2.8489621062,"2,54159784317017",0.369000005722046,48.0114322949,"18,6","63,6",nial,"57,3389320373535",925.6
AgrHys_95_2018.03_NA_NA,AgrHys,2018,"95",HS_M_16,357.333333333333,"78,8213333333333",6,"30,8125438690186",-2.845068043,"2,57109260559082",0.369000005722046,48.0116103726,"19,1","63,2",p,"56,6787757873535",925.6
AgrHys_96_2018.03_NA_NA,AgrHys,2018,"96",HS_M_16,90.6666666666667,"8,424",3,"30,8125438690186",-2.8411731688,"2,57109260559082",0.36800000667572,48.0118198757,"19,1","63,2",nial,"56,6787757873535",929
AgrHys_97_2018.03_NA_NA,AgrHys,2018,"97",HS_M_16,42.6666666666667,"6,80426666666667",1,"28,2347602844238",-2.8372786574,"2,56460857391357",0.36800000667572,48.0120134727,"18,9","63,7",nial,"53,4022674560547",929
AgrHys_98_2018.03_NA_NA,AgrHys,2018,"98",HS_M_16,298.666666666667,"181,6448",8,"28,2347602844238",-2.8333841176,"2,56460857391357",0.36800000667572,48.0122069408,"18,9","63,7",p,"53,4022674560547",931.9
AgrHys_99_2018.03_NA_NA,AgrHys,2018,"99",HS_M_16,112,"27,3376",4,"15,8576784133911",-2.8294895493,"2,55359959602356",0.36800000667572,48.01240028,"18,1","63,8",nial,"54,8640518188477",931.9
AgrInnov_P006_2013_NA_NA,AgrInnov,2013,P006,HS,91.6666666666667,"69,1141666666667",5,"1,28238213062286",-0.760836412513686,"2,36112236976624",0.357999992370605,47.6969394468125,"17","45,7",nial,"37,0059204101562",721.1
AgrInnov_P007_2013_NA_NA,AgrInnov,2013,P007,HS,316.666666666667,"215,220833333333",7,"5,08646297454834",-0.75416761971787,"1,95771336555481",0.355999994277954,47.6900582426856,"16,3","45,2",nial,"35,0552406311035",716.1
AgrInnov_P008_2013_NA_NA,AgrInnov,2013,P008,HS,616.666666666667,"187,6675",9,"49,471996307373",-0.921951896667073,"2,30540776252747",0.358999991416931,47.9477628176492,"14,7","61,6",nial,"41,5766334533691",780.2
AgrInnov_P009_2013_NA_NA,AgrInnov,2013,P009,HS,283.333333333333,"58,2966666666667",7,"34,7388076782227",-1.17192980382167,"2,35281729698181",0.360999989509583,47.8626326280655,"15,8","60,7",nial,"43,8399505615234",815.4
AgrInnov_P010_2013_NA_NA,AgrInnov,2013,P010,HS,212.5,"85,74125",7,"41,8171272277832",-0.878485925690926,"2,44990086555481",0.355999994277954,48.0208747021955,"17,9","58,5",nial,"38,1157531738281",829
AgrInnov_P045_2013_NA_NA,AgrInnov,2013,P045,HS,258.333333333333,"72,9516666666667",7,"34,7388076782227",-1.17085546480741,"2,35281729698181",0.360999989509583,47.8607762489736,"16","58,9",nial,"43,8399505615234",815.4
Breizh Sukr_GUI_KER_2016_NA_NA,Breizh Sukr,2016,GUI_KER,HS,200,NA,3,"9,16397571563721",-3.499257,"2,89529728889465",0.295000004768372,47.800115,"17,1","41,4",p,"43,238697052002",972
Breizh Sukr_NOY_KER_2016_NA_NA,Breizh Sukr,2016,NOY_KER,HS,16.6666666666667,NA,2,"28,2231979370117",-2.900384,"2,64520907402039",0.366000008583069,48.016669,"18,5","59,1",nial,"56,5143737792969",911.8
Breizh Sukr_TRE-HIN_2016_NA_NA,Breizh Sukr,2016,TRE-HIN,HS,12.5,NA,2,"32,6448287963867",-2.073605,"2,53170323371887",0.36800000667572,48.390911,"18,7","41,5",nial,"50,7792472839355",766.2
Breizh Sukr_TRIN_BARA_2016_NA_NA,Breizh Sukr,2016,TRIN_BARA,HS,275,NA,8,"28,7265872955322",-2.556999,"2,27560520172119",0.369000005722046,48.100217,"19,7","54",nial,"51,0213088989258",887.7
CN_CR_2010_B_NA,CN,2010,CR,M_HS,315.333333333333,"51,7462",7,"10,5034332275391",-3.76512223,"3,53256154060364",0.367000007629395,48.45206945,"15,1","50,9",ng,"39,5503807067871",1245.6
CN_For_2010_A_NA,CN,2010,For,F_HS,163.666666666667,"53,7973",10,"0,990872204303741",-3.388185125,"2,9866898059845",0.36800000667572,48.24826752,"17,1","54",ng,"52,9770851135254",1112.4
CN_For_2010_B_NA,CN,2010,For,F_HS,8.33333333333333,"0,2795",1,"0,990872204303741",-3.388185125,"2,9866898059845",0.36800000667572,48.24826752,"17,1","54",f,"52,9770851135254",1112.4
CN_Gu_2010_A_NA,CN,2010,Gu,M_HS,76.3333333333333,"30,3531",2,"21,2952365875244",-3.506862034,"2,06986117362976",0.276999998092651,47.7603939,NA,NA,ng,"48,342845916748",935.7
Dephy Bio_AMAN_C_2018_NA_NA,Dephy Bio,2018,AMAN_C,HS,233.333333333333,"148,2225",6,"29,9317588806152",-1.4740117,"2,37079834938049",0.363000011444092,47.9964617,"21,4","58,8",nial,"44,8957443237305",770.5
Dephy Bio_AMAN_C_2019_NA_NA,Dephy Bio,2019,AMAN_C,HS,266.666666666667,"79,2116666666667",5,"29,9317588806152",-1.4740117,"2,37079834938049",0.363000011444092,47.9964617,"21,4","58,8",p,"44,8957443237305",770.5
Dephy Bio_EAN1_C_2018_NA_NA,Dephy Bio,2018,EAN1_C,HS,154.166666666667,"105,097916666667",6,"9,29982089996338",-1.273421,"2,12010169029236",0.359999990463257,47.815793,"22,8","58,7",nial,"38,5825500488281",798.2
Dephy Bio_EAN1_C_2019_NA_NA,Dephy Bio,2019,EAN1_C,HS,116.666666666667,"40,3679166666667",3,"9,29982089996338",-1.273421,"2,12010169029236",0.359999990463257,47.815793,"22,8","58,7",p,"38,5825500488281",798.2
Dephy Bio_EAN1_P_2018_NA_NA,Dephy Bio,2018,EAN1_P,HS,437.5,"265,1725",8,"9,29982089996338",-1.273,"2,12010169029236",0.359999990463257,47.815,"22,3","59,4",p,"38,5825500488281",798.2
