"BM_tot";"CaCO3";"gps_x";"P";"CEC";"sand";"gps_y";"CN";"hurs_mean";"pH";"N";"gdd10";"silt";"bio4";"clay";"bio3";"K";"bio12";"bio7";"gdd0";"clcm_lvl3mf";"clcm_lvl3gua";"clcm_lvl3ng";"clcm_lvl3nial";"clcm_lvl3p";"clcm_lvl3v"
23,3833333333333;4,25455713272095;-3,39529;49,463981628418;9,97152900695801;45,1;47,85015;12,2108469009399;634,3;5,6;3,01851320266724;1036,4;37,8;3,939;17,1;0,320000004768372;248,537811279297;959,1;16,3;4378;0;0;1;0;0;0
34,35875;9,83097457885742;-2,101889;47,5533065795898;9,68256282806396;44,3;48,627306;11,9693489074707;634,3;7,1;2,10300230979919;997,2;40,3;3,912;15,4;0,283999991416931;262,656311035156;761,2;15,4;4314,1;0;0;1;0;0;0
32,0170833333333;16,3837432861328;-2,06442;50,5559539794922;10,2024564743042;33,7;48,37477;9,48130989074707;632,7;6,3;2,33296203613281;1020,8;46,6;4,483;19,8;0,369000005722046;206,974227905273;747;19,6;4196,2;0;1;0;0;0;0
228,711666666667;15,9001512527466;-1,699;58,2173156738281;13,7015228271484;20,4;48,131;10,3714580535889;630,7;6,8;1,56402575969696;1064,8;60,6;4,718;19,1;0,367000007629395;294,289184570312;769;20,3;4211,9;0;1;0;0;0;0
147,5725;15,9001512527466;-1,699;58,2173156738281;13,7015228271484;20,4;48,131;10,3714580535889;630,7;6,8;1,56402575969696;1064,8;60,6;4,718;19,1;0,367000007629395;294,289184570312;769;20,3;4211,9;0;1;0;0;0;0
219,692916666667;33,913444519043;-1,688976;42,242618560791;11,4924354553223;23;48,082715;11,3794975280762;628,7;6,8;1,93644464015961;1094,5;59,5;4,759;17,5;0,366000008583069;243,148773193359;754,3;20,4;4251,6;0;1;0;0;0;0
85,4491666666667;24,4481925964355;-1,665097;36,5555038452148;14,2267780303955;27;48,13418;13,280930519104;630;6,8;1,74854075908661;1071,1;55,5;4,73;17,5;0,366000008583069;275,030792236328;770,3;20,3;4218;0;1;0;0;0;0
206,329166666667;24,4481925964355;-1,665997;36,5555038452148;14,2267780303955;27;48,132565;13,280930519104;629,7;6,8;1,74854075908661;1071,1;55,5;4,73;17,5;0,366000008583069;275,030792236328;767,4;20,3;4218;0;1;0;0;0;0
189,096666666667;48,6514892578125;-1,644;37,6950302124023;11,931300163269;25,4;48,097;12,259204864502;629,8;6,7;1,70580804347992;1074,1;54,4;4,743;20,2;0,366000008583069;242,003753662109;764,8;20,4;4221;0;1;0;0;0;0
106,879583333333;48,6514892578125;-1,644;37,6950302124023;11,931300163269;25,4;48,097;12,259204864502;629,8;6,7;1,70580804347992;1074,1;54,4;4,743;20,2;0,366000008583069;242,003753662109;764,8;20,4;4221;0;1;0;0;0;0
429,6625;7,48528146743774;-1,720433;47,4731063842773;12,2386951446533;20,4;48,122655;9,93517875671387;630,3;5,8;2,03904557228088;1064,8;61,6;4,718;18,1;0,36800000667572;292,731781005859;760,2;20,3;4211,9;0;1;0;0;0;0
27,36625;7,48528146743774;-1,7201747;47,4731063842773;12,2386951446533;20,4;48,1230144;9,93517875671387;630,3;5,8;2,03904557228088;1064,8;61,6;4,718;18,1;0,36800000667572;292,731781005859;760,2;20,3;4211,9;0;1;0;0;0;0
3,02333333333333;8,03534507751465;-1,512194;25,1263942718506;8,13579845428467;43,1;48,281889;13,2929430007935;634,9;6,2;2,38268566131592;1015,6;35,4;4,666;21,5;0,363000011444092;225,964553833008;826,3;20;4135,8;1;0;0;0;0;0
130,8575;13,0078372955322;-1,3915;41,9706344604492;9,82676219940186;38,1;48,25875;11,0213489532471;637,8;5,7;2,60128736495972;1015,5;41;4,709;20,9;0,360999989509583;204,22932434082;858,1;20,1;4120,7;0;1;0;0;0;0
1,755;15,5224523544312;-2,63353;54,5620918273926;9,25446033477783;27;48,373802;11,9647922515869;648,2;5,8;2,72752118110657;874,4;55,5;4,258;17,5;0,361999988555908;268,044311523438;810,6;18,7;3995;0;1;0;0;0;0
123,709583333333;99,6362152099609;2,606994;35,7711448669434;19,9788837432861;54,1;49,224141;11,7284879684448;636,2;6,4;2,18711495399475;1053,7;28,7;5,413;17,2;0,339000010490418;264,882446289062;733,8;22;3982,3;0;1;0;0;0;0
65,5816666666667;152,972564697266;2,642042;42,9444999694824;20,6617736816406;64,1;49,300746;10,8690195083618;632,5;6,2;1,92940723896027;1091,2;26;5,428;10;0,338000011444092;274,203094482422;689,2;22;4049,2;0;1;0;0;0;0
122,123333333333;41,7122268676758;2,324735;23,7271137237549;16,984073638916;50,3;48,900974;12,6585416793823;620,8;7,4;1,88916289806366;1145,9;29,3;5,494;20,4;0,339000010490418;319,981414794922;653,4;22,4;4131,6;0;1;0;0;0;0
92,72;67,9434814453125;2,234565;34,6557388305664;18,2658767700195;38,7;48,863965;12,5238666534424;623,5;6,9;1,43417537212372;1155;50,2;5,509;11,1;0,340000009536743;243,77668762207;652,2;22,3;4146,7;0;1;0;0;0;0
40,3395833333333;28,6432361602783;2,258787;37,1207160949707;18,5589199066162;48,6;48,873289;13,5828628540039;620,8;6;1,55280995368958;1142,5;38;5,496;13,4;0,339000010490418;323,716094970703;642,3;22,3;4125,5;0;1;0;0;0;0
24,6316666666667;44,9632301330566;2,241171;30,0645408630371;15,9371929168701;40,1;48,85391;12,8238649368286;624;6,6;1,88701212406158;1155;47,9;5,509;12;0,339000010490418;302,971801757812;656,2;22,4;4146,7;0;1;0;0;0;0
