"Richesse_tot";"gps_x";"bio4";"bio7";"CaCO3";"pH";"gps_y";"elevation";"bio18";"CEC";"P";"N";"bio15";"hurs_mean";"bio13";"bio10";"bio16";"gdd10";"bio5";"PET";"clcm_lvl3mf";"clcm_lvl3gua";"clcm_lvl3ng";"clcm_lvl3nial";"clcm_lvl3p";"clcm_lvl3v"
1;0,252254301964271;5,413;22,2;55,8549575805664;7;47,2833260921671;95,0210037231445;142,8;12,5649814605713;54,3117256164551;0,900315940380096;16,6;619;72,1;19,2500000000001;210,6;1297,8;24,35;769,6;0;0;0;0;0;1
2;-0,0660073904312343;5,344;22,2;52,3615455627441;7,4;47,2365707858811;75,7612152099609;132;13,3639545440674;43,3137550354004;0,901740849018097;17,7;616,6;70,1;19,05;203,5;1257,6;24,2500000000001;772,1;0;0;0;0;0;1
3;1,34676549611802;5,652;23;77,7711029052734;6,9;47,3199999495305;117,200996398926;148,2;17,0946750640869;43,3973655700684;1,32213628292084;15,3;617,4;72,3;19,35;203,6;1275,5;24,55;786;0;0;0;0;0;1
1;1,22265931512584;5,624;22,8;42,8148574829102;6,5;47,3457386971757;114,787445068359;155,7;15,0847311019897;25,571081161499;1,70121836662292;15,7;622,8;76,9;19,35;218,3;1286,5;24,55;751,2;0;0;0;0;0;1
1;1,27061834343341;5,613;22,8;69,5654067993164;6,8;47,3505963919906;117,200996398926;155,8;19,5922794342041;42,3180160522461;1,02176654338837;15,5;622,1;76,5;19,15;216,5;1248,6;24,35;786,1;0;0;0;0;0;1
3;-1,30578858438872;4,988;21,2;58,093318939209;6,5;47,2053854285708;50,6980018615723;137,1;10,5374240875244;52,0411682128906;1,07462382316589;26;629,7;97,7;18,45;278,1;1186,8;23,65;756;0;0;0;0;0;1
1;-1,39962473066907;4,945;21;41,7662773132324;6,3;47,1556862973698;50,6980018615723;137,5;10,7904691696167;48,9825477600098;1,07762014865875;26,5;628,8;99,1;18,55;284,1;1210,2;23,65;757;0;0;0;0;0;1
0;0,891323490939175;5,571;22,6;52,3481636047363;6,1;47,421609572864;95,0210037231445;145,9;16,3709812164307;36,4149513244629;1,42863607406616;16,7;619,4;73,9;19,2500000000001;214,2;1283,6;24,45;746,9;0;0;0;0;0;1
7;-1,17085546480741;4,919;20,8;34,7388076782227;6,1;47,8607762489736;54,5942726135254;145,8;7,95271730422974;43,8399505615234;2,35281729698181;22,1;638,8;91;17,85;259,4;1067,2;22,85;765,2;0;0;0;1;0;0
8;-0,730673113032073;5,069;21,3;18,5507144927979;6,4;47,9074786670869;66,4300003051758;142,7;9,388108253479;38,4228668212891;1,91797232627869;20,5;632,3;85,2;18,15;244,1;1110,3;23,2500000000001;770,6;0;0;0;1;0;0
3;-1,03463455651253;5,12;21,5;50,6413116455078;6,4;46,7489537977691;74,2685241699219;142,6;10,706995010376;41,9076766967773;1,92916357517242;27,4;627,5;103,4;18,7500000000001;294,9;1230,4;23,95;795,2;0;0;0;1;0;0
3;-1,08613213557869;5,136;21,5;155,576782226562;7,3;46,5274472473147;63,6419982910156;141,1;19,4987144470215;43,3895072937012;2,04526567459106;28,3;621,9;106,8;19,15;301,7;1324,9;24,35;817,6;0;0;0;1;0;0
8;-1,03310809542931;5,161;21,7;198,413925170898;7,6;46,519956294978;76,0396118164062;145;21,4305782318115;38,702766418457;2,36833095550537;27,8;622,7;108,3;19,2500000000001;305,4;1327,9;24,45;812,7;0;0;0;1;0;0
2;-0,648543889278259;5,251;21,9;193,596496582031;6,9;46,2704483129058;103,49299621582;149,6;20,6256408691406;38,5913429260254;2,29616332054138;24,9;615,2;98,9;19,65;288;1405;24,7500000000001;822,3;0;0;0;1;0;0
2;0,866848430784523;5,539;22,6;57,0222854614258;6,8;47,420772373871;95,0210037231445;146,4;14,7032747268677;44,4756622314453;0,91920417547226;16,7;619,6;74,2;19,15;215,2;1256,8;24,35;790,9;0;0;0;0;0;1
4;0,274369257082614;5,412;22,3;65,1228256225586;6,6;47,1711163252397;95,0210037231445;138,3;14,6369171142578;44,7652626037598;1,35403227806091;16,2;618,1;68,5;19,15;201,2;1271,4;24,35;800,5;0;0;0;0;0;1
9;-0,0849028457923445;5,449;23,2;148,503143310547;7;45,4912030498866;75,5471343994141;162;23,9640369415283;31,7739315032959;1,78988587856293;19,8;608,5;89,3;19,85;263,2;1437;25,45;865,6;0;0;0;0;0;1
4;2,47380459987051;5,218;21,6;30,4204235076904;7,4;49,5677671418221;96,8010025024414;188,4;15,626763343811;55,0271530151367;1,60814368724823;13,2;641,3;71,6;17,2500000000001;201,3;942,6;22,35;705,6;0;0;0;1;0;0
3;2,61233952978784;5,295;21,7;49,2567596435547;7,5;49,5269838997006;96,8010025024414;183,7;16,4463863372803;56,766170501709;1,65035259723663;13,7;636,2;68,7;17,55;190,3;986,9;22,55;704;0;0;0;1;0;0
3;3,34898668302941;5,387;21,9;169,966506958008;7;49,5505054998002;121,572998046875;211,9;18,3903675079346;47,5202407836914;1,69652783870697;12,7;641,5;76,6;17,35;211,9;943,9;22,35;670,9;0;0;0;1;0;0
4;3,27829253723252;5,405;21,9;51,252628326416;7,4;49,4857112148723;121,572998046875;209,7;14,9281225204468;57,867847442627;1,65349316596985;13,2;639,3;76,5;17,45;209,7;965,2;22,45;714,6;0;0;0;1;0;0
4;3,30892468761557;5,541;22,2;186,531021118164;7,2;49,3546875600369;121,572998046875;191,9;20,2363166809082;48,4953384399414;1,71375453472137;13,1;631,7;71,5;18,15;192,7;1087,3;23,15;676,7;0;0;0;1;0;0
3;2,38261265539319;5,162;21,3;118,904747009277;7,1;49,8113068977416;96,8010025024414;182,8;18,4203567504883;52,8492050170898;2,03008484840393;13,3;636,3;72,5;17,35;203,6;959,1;22,2500000000001;703,4;0;0;0;1;0;0
