"Richesse";"Long";"Lat";"SableF";"LimonF";"LimonG";"Argile";"C_org";"C.N";"pH_eau";"OS";"Sables";"SableG";"Limons";"MO";"C_tot";"N_tot"
0,5;4,99026116672556;47,3582454967355;56;237;121;512;50,4576192855835;9,6;7,94;"OS_210";130;74;358;87,3;76,8576192855835;5,25387346744537
1,5;4,95551949965968;47,6132164994737;77;206;91;299;44,7412722015381;9,33;8,01;"OS_210";404;327;297;77,4;113,501272201538;4,79406774044037
0,5;4,72926574883218;47,5271434923132;40;394;171;245;64,1676221466064;9,49;7,95;"OS_210";190;150;565;111;92,6076221466064;6,76494896411896
0,25;4,94032912866279;47,2009398584352;33;292;67;543;35,8529367446899;9,68;8,03;"OS_210";98;65;359;62;41,8529367446899;3,70239198207855
1,25;4,97351488108001;47,2524699530553;77;245;176;356;21,1068362426758;11,7;8,27;"OS_218";223;146;421;36,5;43,1868362426758;1,80879160761833
1,25;4,97398866645502;47,2548880007438;112;205;167;429;18,5885122871399;10,9;8,29;"OS_218";199;87;372;32,2;30,2285122871399;1,71201378107071
1;4,97835900062954;47,2636638369498;97;215;170;426;16,8187014579773;11,1;8,13;"OS_218";189;92;385;29,1;27,6187014579773;1,5193572640419
0,5;4,9798850529084;47,2661542783181;105;181;161;423;17,2331647109985;10,5;8,19;"OS_218";235;130;342;29,8;33,3131647109985;1,63532003760338
0,25;4,98796383406893;47,2739513368465;50;266;168;419;19,1458023834229;10,6;8,21;"OS_218";147;97;434;33,1;31,2658023834229;1,81075930595398
0,25;4,98370333389831;47,2666288319882;77;204;151;389;20,7015772628784;11,5;8,22;"OS_218";256;179;355;35,8;49,6215772628784;1,79592907428741
1,25;4,9560361660525;47,1833281659984;66;243;166;409;20,1579538726807;11,6;8,23;"OS_218";182;116;409;34,9;41,5179538726807;1,74434587359428
1;4,95939916635495;47,1922726658436;71;257;146;350;15,4636686325073;10,5;8,26;"OS_218";247;176;403;26,8;43,6636686325073;1,47055074572563
1;4,96384700039795;47,2332996645061;81;226;152;359;20,1995207595825;10,7;8,29;"OS_218";263;182;378;34,9;48,5195207595825;1,89391791820526
0,5;4,96768849941685;47,22809066475;110;180;164;426;18,4120599555969;11,1;8,22;"OS_218";230;120;344;31,9;37,7320599555969;1,66447699069977
1,25;4,99722516696618;47,2862991635916;42;298;179;366;14,3438481521606;10,4;8,26;"OS_218";157;115;477;24,8;33,4238481521606;1,38497337698936
1;4,96783366738748;47,216706170677;65;238;153;400;18,8828254699707;10,9;8,18;"OS_218";209;144;391;32,7;36,2828254699707;1,7293980717659
1;4,96513616651567;47,2032236657616;66;227;162;423;22,585808391571;11,7;8,19;"OS_218";188;122;389;39,1;37,465808391571;1,93403035402297
0,75;4,96263916680524;47,1933224997272;63;206;150;468;22,0394083404541;11,5;8,23;"OS_218";176;113;356;38,1;40,3994083404541;1,9085019826889
0,75;4,95830149992839;47,1825388298283;71;273;154;373;17,2599938964843;10,6;8,27;"OS_218";200;129;427;29,9;43,8999938964843;1,62568002939224
1;4,84388750015005;47,1602793314502;181;170;194;270;19,9310363388061;10,1;8,22;"OS_218";366;185;364;34,5;55,5710363388061;1,9689205288887
0,5;4,98165506969751;47,2814784609475;38;298;168;474;17,824341506958;11,5;8,16;"OS_218";60;22;466;30,8;20,104341506958;1,54733121395111
0,75;4,99871366612589;47,2852044982336;34;307;177;403;22,0785303306579;10,9;8,14;"OS_218";113;79;484;38,2;31,5585303306579;2,01840505003929
0,75;4,96520266647337;47,208232167678;59;266;162;387;19,2317412185668;11,3;8,3;"OS_218";185;126;428;33,3;37,9517412185668;1,69998109340667
0,5;4,98158583298114;47,2459429980413;85;244;164;357;29,0548932266235;11,4;8,26;"OS_218";235;150;408;50,3;49,3348932266235;2,53907799720764
0,25;4,95787233289876;47,1898131698643;66;244;151;357;18,1643559646606;11,9;8,29;"OS_218";248;182;395;31,4;44,4443559646606;1,52033314108848
0,5;4,92807950015309;47,1551856688999;76;238;76;385;26,8840162277221;10,5;8,27;"OS_218";301;225;314;46,5;67,6840162277221;2,54894196987152
0;4,97743566700264;47,2442746702639;115;242;174;326;18,5477671051025;12,1;8,31;"OS_218";258;143;416;32,1;53,1077671051025;1,53785064816474
1;4,9992271661766;47,286255669043;35;300;176;394;16,2637527275085;11,7;8,25;"OS_218";130;95;476;28,1;28,9837527275085;1,38877257704734
0,6;4,97447883357547;47,3231350009647;81;190;90;512;22,6306778335571;11;8,28;"OS_218";208;127;280;39,2;49,9906778335571;2,0535646378994
0,6;4,96809616695477;47,3169468375078;75;167;75;362;29,6939013290405;10,5;8,17;"OS_218";396;321;242;51,4;78,4139013290405;2,81594604253769
0,4;4,98350166638145;47,3111640031221;109;237;141;411;17,3623292541504;10,7;8,34;"OS_218";211;102;378;30;77,6023292541504;1,61841034889221
2;5,19876316691503;47,2806783368212;39;336;237;383;12,6604124355316;8,93;7,65;"OS_214";44;5;573;21,9;12,7804124355316;1,41806796193122
1,75;5,1989275485075;47,2795665688724;44;370;271;307;12,112357263565;9,29;6,94;"OS_214";52;8;641;21;12,232357263565;1,30327507853508
1,75;5,2055135888146;47,2747943438235;38;363;259;334;13,0846965312957;9,6;6,9;"OS_214";44;6;622;22,6;13,0846965312957;1,36301487684249
1,75;5,21050983299869;47,2754185004088;47;216;125;316;29,2341012573242;9,66;8,21;"OS_214";343;296;341;50,6;64,2741012573242;3,02690148353576
2;5,21362999949962;47,2697670029655;47;224;93;326;26,6912533187866;8,93;8,22;"OS_214";357;310;317;46,2;72,0512533187866;2,98992395401
2;5,20895872635101;47,2649046617311;36;336;217;363;17,2837751197814;9,4;8,11;"OS_214";84;48;553;29,9;24,0037751197814;1,83796271681785
2;5,22305071642091;47,2685240227499;40;310;195;340;21,747011642456;9,16;8,14;"OS_214";155;115;505;37,6;33,267011642456;2,37407594919204
1,75;5,2275116667968;47,2676940027081;36;363;255;330;15,1502241039276;9,6;7,59;"OS_214";52;16;618;26,2;15,5102241039276;1,57870233058929
2;5,22920424130464;47,2708647168407;37;393;280;278;12,4991846084594;9,52;6,83;"OS_214";49;12;673;21,6;12,4991846084594;1,31259024143219
1,75;5,23236083142099;47,2722418632721;39;402;305;240;11,9637748050689;9,82;6,48;"OS_214";53;14;707;20,7;12,0837748050689;1,21785216033458
1,75;5,20714998195518;47,2787232641224;47;260;153;405;32,1072397994995;9,86;8,18;"OS_210";182;135;413;55,5;52,0272397994995;3,25714111328125
2;5,21712742900206;47,2624614757843;96;225;106;252;29,9672722625732;8,9;8,27;"OS_210";417;321;331;51,8;83,4872722625732;3,36721986532211
2;4,59637050032218;47,2845655022307;81;330;181;320;61,8902770996094;12,9;8,04;"OS_111";169;88;511;107;117,690277099609;4,78835076093674
1,75;4,58926230247703;47,2789104772709;34;338;154;457;20,0623425292969;9,38;6,82;"OS_214";51;17;492;34,7;20,1823425292969;2,13856056332588
2;4,59559355139844;47,2835118726675;53;273;119;364;29,3220506668091;9,58;8,06;"OS_214";244;191;392;50,7;70,7220506668091;3,05928379297256
2;4,5874554998176;47,2751021547316;51;351;166;416;20,5018433380127;10;7,15;"OS_214";67;16;517;35,5;20,6218433380127;2,04034596681595
2;4,60084641324424;47,2817109661969;36;235;86;413;31,295068321228;9,21;8,01;"OS_214";266;230;321;54,1;65,735068321228;3,39613050222397
1,75;4,59241361229387;47,2731901780076;47;284;99;305;31,6447152328491;9,61;8,03;"OS_214";312;265;383;54,7;71,7247152328491;3,29169929027557
2;4,60761549953188;47,2843361624264;31;242;94;482;28,5869992828369;9,64;8,1;"OS_214";182;151;336;49,5;49,2269992828369;2,96618282794952
1,75;4,60414149945358;47,2821511650293;24;278;118;454;27,8754837417603;9,1;8,11;"OS_214";150;126;396;48,2;42,6354837417603;3,06265383958817
1,75;4,60258477502257;47,2796620749055;36;348;103;389;46,5415376663208;10;7,96;"OS_214";160;124;451;80,5;62,1415376663208;4,6561461687088
2;4,59094313540188;47,2785426738201;28;450;130;354;28,9996708869934;9,51;7,99;"OS_214";66;38;580;50,2;32,5996708869934;3,04865330457687
2;4,58890349976279;47,276934004126;39;371;141;385;23,9218343353271;9,52;8,02;"OS_214";103;64;512;41,4;29,5618343353271;2,5122058391571
2;4,58943854161516;47,2742123428551;47;288;128;432;26,1126436424255;9,57;8,08;"OS_214";152;105;416;45,2;36,1926436424255;2,72891342639923
2;4,60372083373874;47,2843473346724;28;388;143;422;27,7411853408813;9,23;7,53;"OS_214";47;19;531;48;28,5811853408813;3,0060750246048
2;4,59854364272906;47,2793100030714;19;392;118;400;33,011231803894;9,54;8;"OS_214";90;71;510;57,1;42,611231803894;3,45947027206421
1,75;4,69153416680116;47,4145655032133;11;473;174;320;19,9920284748077;16;5,06;"OS_111";33;22;647;34,6;19,9920284748077;1,24967567622662
1,75;4,99898066648766;47,4757018378359;11;384;175;421;55,9434469985962;13,7;6,38;"OS_111";20;9;559;96,8;56,0634469985962;4,09194618463516
1,75;4,81322150041927;47,2548069989591;38;290;197;464;47,7835520553589;12,9;6,27;"OS_111";49;11;487;82,7;47,9035520553589;3,69003415107727
1,75;5,14441966609063;47,4852934983331;9;302;166;479;55,7989276885986;13,7;7,13;"OS_111";53;44;468;96,5;59,3989276885986;4,0730482339859
1,75;5,0753654995463;47,4264459970045;17;300;177;496;60,2446892547607;15,3;7,2;"OS_111";27;10;477;104;60,9646892547607;3,9323353767395
1,75;4,8835043337731;47,346208336651;39;311;200;417;73,8504154205322;12,8;7,22;"OS_111";72;33;511;128;75,6504154205322;5,77743887901306
1,75;4,88017050028464;47,4456876654068;6;369;149;460;46,5738523101807;14,3;6,94;"OS_111";22;16;518;80,6;49,8138523101807;3,25573593378067
1,75;4,89048033387161;47,2337618371143;160;234;321;211;16,7335827636718;9,68;8,28;"OS_214";234;74;555;28,9;44,4535827636718;1,72927528619766
2;5,21324310895183;47,592089270993;17;391;257;319;21,8024400901794;10,1;7,81;"OS_214";33;16;648;37,7;22,8824400901794;2,16854602098464
2;5,14131399958814;47,3195984966858;115;257;125;438;36,1452011489868;9,68;8,07;"OS_214";180;65;382;62,5;43,7052011489868;3,73568505048751
2;4,82191533342729;47,2341425012271;119;238;251;319;21,7986389923095;10,3;8,14;"OS_214";192;73;489;37,7;38,1186389923095;2,11494162678718
2;5,26010066638579;47,404531502626;73;288;134;403;19,0311735916137;9,38;8,24;"OS_214";175;102;422;32,9;58,1511735916137;2,02993437647819
2;4,8423298335621;47,2610360002866;172;205;273;277;15,85;9,4;8,23;"OS_214";245;73;478;27,4;19,9007320404052;1,68573632836341
1,75;4,69556316692478;47,2622309981389;187;297;170;310;12,9;12,1;7,25;"OS_214";223;36;467;22,3;12,9490447044372;1,06378853321075
1,75;5,2198851661466;47,3503080010875;63;302;200;407;18,842194700241;9,86;7,98;"OS_214";91;28;502;32,6;19,442194700241;1,91033616662025
1,75;5,19488316661368;47,3510838294728;67;298;207;343;18,1423598289489;9,6;8,22;"OS_214";152;85;505;31,4;32,5423598289489;1,88907980918884
1,75;5,21355983289805;47,3774494994023;41;407;216;303;17,4295640945434;10,4;8,1;"OS_214";74;33;623;30,2;19,8295640945434;1,6702926158905
1,75;5,19803600046536;47,3894241681751;42;364;204;318;16,045575389862;9,7;8,24;"OS_214";114;72;568;27,8;25,285575389862;1,65502250194549
1,75;4,79042083388621;47,469197664733;57;319;111;463;41,0408353424072;9,97;7,92;"OS_214";107;50;430;71;43,0808353424072;4,11789923906326
1,75;5,14415700046572;47,4640531682008;83;254;139;426;23,9610640335083;10,4;8,25;"OS_214";181;98;393;41,5;58,2810640335083;2,30454385280609
1,75;5,0295618331287;47,182201998564;116;220;337;308;11,6472288894653;9,52;7,98;"OS_214";135;19;557;20,1;12,9672288894653;1,22404970228672
1,75;5,16274600002228;47,2584238335988;128;347;235;266;11,0973638153076;8,63;8,38;"OS_214";152;24;582;19,2;58,7373638153076;1,28637701272964
2;5,14024483326497;47,2590931670234;80;258;158;470;13,8810004043579;10,6;8,33;"OS_214";114;34;416;24;41,0010004043579;1,30746126174926
1,75;4,82235498896534;47,3165165230259;92;263;254;268;23,231351108551;10,1;8,23;"OS_214";215;123;517;40,2;37,511351108551;2,29532837867736
1,75;4,65142705473489;47,3234482716792;88;295;136;312;20,9762997055053;9,45;8,27;"OS_214";257;169;431;36,3;79,5362997055053;2,22031071782112
2;5,10326783354863;47,424231504203;39;397;198;321;16,6599463272094;9,86;8,28;"OS_214";84;45;595;28,8;22,7799463272094;1,69023782014846
2;5,10476933376817;47,4365790016364;42;319;195;372;20,3995198249816;10,7;7,91;"OS_214";114;72;514;35,3;20,9995198249816;1,90835207700729
2;5,09373753949674;47,3552574943125;77;311;188;403;20,285956287384;10,5;8,1;"OS_214";98;21;499;35,1;20,885956287384;1,92975059151649
2;5,27931366634048;47,1452911637543;78;309;212;358;16,4996414756774;9,19;8,23;"OS_214";121;43;521;28,5;17,9396414756774;1,79543271660804
2;5,21441600017076;47,100303499203;186;208;303;234;10,3645770645141;9,3;8,01;"OS_214";255;69;511;17,9;10,6045770645141;1,1140239238739
2;5,20751333355009;47,2500041676232;77;284;126;426;25,54;8,93;8,18;"OS_214";164;87;410;44,2;63,94;2,86
1,75;4,78576221625333;47,4039011408032;43;456;121;286;30,96;9,8;7,99;"OS_214";137;94;577;53,6;42,24;3,16
2;5,35500600041932;47,4096281683066;46;392;292;247;10,6;10,1;6,54;"OS_214";69;23;684;18,3;10,63;1,05
2;5,33585672085813;47,1580670281136;62;248;108;400;24,8087356567383;8,67;8,16;"OS_214";244;182;356;42,9;50,0087356567383;2,86242872476578
2;5,29149083274755;47,0537816642993;77;363;320;172;8,15;9,61;6,57;"OS_214";145;68;683;14,1;8,15322518348694;0,848415940999985
2;5,35857716613307;47,4649613327145;27;399;248;308;13,8643682003021;9,56;7,39;"OS_214";45;18;647;24;13,8643682003021;1,45006284117699
2;4,93362633355407;47,4117433301644;29;315;109;507;26,6414648628235;10;8,02;"OS_214";69;40;424;46,1;30,4814648628235;2,65627771615982
